"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",990199
"af","Africa","afben","Benin","ben",1703712
"af","Africa","afbfa","Burkina Faso","bfa",2118680
"af","Africa","afbwa","Botswana","bwa",680363
"af","Africa","afcaf","Central African Republic","caf",220131.00000000003
"af","Africa","afciv","Cote d'Ivoire","civ",68214404
"af","Africa","afcmr","Cameroon","cmr",570309
"af","Africa","afcod","Democratic Republic of the Congo","cod",74247
"af","Africa","afcog","Republic of the Congo","cog",1349
"af","Africa","afdji","Djibouti","dji",1678011
"af","Africa","afdza","Algeria","dza",2101724958
"af","Africa","afegy","Egypt","egy",4421732306
"af","Africa","afeth","Ethiopia","eth",1210107
"af","Africa","afgha","Ghana","gha",7355320.999999999
"af","Africa","afgmb","Gambia","gmb",460
"af","Africa","afgnq","Equatorial Guinea","gnq",201109302
"af","Africa","afken","Kenya","ken",42805266
"af","Africa","aflbr","Liberia","lbr",2306
"af","Africa","aflby","Libya","lby",104790134
"af","Africa","aflso","Lesotho","lso",3912
"af","Africa","afmar","Morocco","mar",7918213481
"af","Africa","afmdg","Madagascar","mdg",31471916
"af","Africa","afmli","Mali","mli",12453471.000000002
"af","Africa","afmoz","Mozambique","moz",97546580
"af","Africa","afmrt","Mauritania","mrt",56849198
"af","Africa","afmus","Mauritius","mus",134805728
"af","Africa","afmwi","Malawi","mwi",18089995
"af","Africa","afnam","Namibia","nam",3387107
"af","Africa","afner","Niger","ner",1582134
"af","Africa","afnga","Nigeria","nga",2003001758
"af","Africa","afrwa","Rwanda","rwa",115306
"af","Africa","afsdn","Sudan","sdn",132
"af","Africa","afsen","Senegal","sen",39241211
"af","Africa","afshn","Saint Helena","shn",156
"af","Africa","afswz","Eswatini","swz",4301730
"af","Africa","afsyc","Seychelles","syc",66328
"af","Africa","aftcd","Chad","tcd",410348
"af","Africa","aftgo","Togo","tgo",6302576.000000001
"af","Africa","aftun","Tunisia","tun",554227056
"af","Africa","aftza","Tanzania","tza",80605075
"af","Africa","afuga","Uganda","uga",34128
"af","Africa","afzaf","South Africa","zaf",635066768
"af","Africa","afzmb","Zambia","zmb",33722373
"af","Africa","afzwe","Zimbabwe","zwe",1473082.9999999998
"as","Asia","asafg","Afghanistan","afg",1191607
"as","Asia","asare","United Arab Emirates","are",1280345744
"as","Asia","asarm","Armenia","arm",282612
"as","Asia","asaze","Azerbaijan","aze",248358828
"as","Asia","asbgd","Bangladesh","bgd",58316
"as","Asia","asbhr","Bahrain","bhr",396201617
"as","Asia","asbrn","Brunei","brn",299711254
"as","Asia","aschn","China","chn",12704664519
"as","Asia","ascxr","Christmas Island","cxr",2708995.9999999995
"as","Asia","ascyp","Cyprus","cyp",2346792
"as","Asia","asgeo","Georgia","geo",745101231
"as","Asia","ashkg","Hong Kong","hkg",14000173
"as","Asia","asidn","Indonesia","idn",1339583212
"as","Asia","asind","India","ind",140437142
"as","Asia","asirn","Iran","irn",241282971
