"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",13842
"af","Africa","afbdi","Burundi","bdi",133
"af","Africa","afben","Benin","ben",6162.999999999999
"af","Africa","afbfa","Burkina Faso","bfa",28220
"af","Africa","afbwa","Botswana","bwa",91
"af","Africa","afciv","Cote d'Ivoire","civ",3828449
"af","Africa","afcmr","Cameroon","cmr",72096
"af","Africa","afegy","Egypt","egy",234681
"af","Africa","afgha","Ghana","gha",275737
"af","Africa","afgnq","Equatorial Guinea","gnq",3205462.9999999995
"af","Africa","afken","Kenya","ken",445116
"af","Africa","aflso","Lesotho","lso",73
"af","Africa","afmar","Morocco","mar",275719
"af","Africa","afmoz","Mozambique","moz",770153
"af","Africa","afmus","Mauritius","mus",1847115
"af","Africa","afnam","Namibia","nam",86487
"af","Africa","afner","Niger","ner",1934.0000000000002
"af","Africa","afnga","Nigeria","nga",340765
"af","Africa","afsen","Senegal","sen",1585049
"af","Africa","afswz","Eswatini","swz",152107
"af","Africa","afsyc","Seychelles","syc",866261.0000000001
"af","Africa","aftgo","Togo","tgo",101857.99999999999
"af","Africa","aftun","Tunisia","tun",389396
"af","Africa","aftza","Tanzania","tza",77705
"af","Africa","afuga","Uganda","uga",31418
"af","Africa","afzaf","South Africa","zaf",74603270
"af","Africa","afzmb","Zambia","zmb",361009
"af","Africa","afzwe","Zimbabwe","zwe",277312
"as","Asia","asare","United Arab Emirates","are",22558702
"as","Asia","asarm","Armenia","arm",71521
"as","Asia","asaze","Azerbaijan","aze",47568.99999999999
"as","Asia","asbhr","Bahrain","bhr",37.00000000000001
"as","Asia","aschn","China","chn",8139543600
"as","Asia","ascyp","Cyprus","cyp",1297884
"as","Asia","asgeo","Georgia","geo",79623.99999999999
"as","Asia","ashkg","Hong Kong","hkg",22029513
"as","Asia","asidn","Indonesia","idn",155307916
"as","Asia","asind","India","ind",1586560491
"as","Asia","asirn","Iran","irn",7781
"as","Asia","asisr","Israel","isr",599786285
"as","Asia","asjor","Jordan","jor",9962544
"as","Asia","asjpn","Japan","jpn",175708226
"as","Asia","askaz","Kazakhstan","kaz",1849335
"as","Asia","askgz","Kyrgyzstan","kgz",255748
"as","Asia","askhm","Cambodia","khm",35284
"as","Asia","askor","South Korea","kor",45839210
"as","Asia","aslbn","Lebanon","lbn",173551
"as","Asia","aslka","Sri Lanka","lka",97973
"as","Asia","asmys","Malaysia","mys",229526303
"as","Asia","aspak","Pakistan","pak",60615
"as","Asia","asphl","Philippines","phl",477059.99999999994
"as","Asia","aspse","Palestine","pse",415902
"as","Asia","asqat","Qatar","qat",25035
"as","Asia","assau","Saudi Arabia","sau",367034
"as","Asia","assgp","Singapore","sgp",39921037
"as","Asia","astha","Thailand","tha",10791475
"as","Asia","astjk","Tajikistan","tjk",7227
"as","Asia","astur","Turkey","tur",41627464
"as","Asia","astwn","Chinese Taipei","twn",96021171
"as","Asia","asuzb","Uzbekistan","uzb",6037044
"as","Asia","asvnm","Vietnam","vnm",47957018
"eu","Europe","euand","Andorra","and",119074
"eu","Europe","euaut","Austria","aut",223692952
"eu","Europe","eubel","Belgium","bel",531537633
"eu","Europe","eubgr","Bulgaria","bgr",17340089
"eu","Europe","eubih","Bosnia and Herzegovina","bih",18905
"eu","Europe","eublr","Belarus","blr",14411512
"eu","Europe","euche","Switzerland","che",63590894
"eu","Europe","eucze","Czechia","cze",12209662
"eu","Europe","eudeu","Germany","deu",1170607003
"eu","Europe","eudnk","Denmark","dnk",154553806
"eu","Europe","euesp","Spain","esp",132184354
"eu","Europe","euest","Estonia","est",697261
"eu","Europe","eufin","Finland","fin",527325
"eu","Europe","eufra","France","fra",1355977478
"eu","Europe","eugbr","United Kingdom","gbr",269143324
"eu","Europe","eugrc","Greece","grc",31662812
"eu","Europe","euhrv","Croatia","hrv",20212314
"eu","Europe","euhun","Hungary","hun",514575314
"eu","Europe","euirl","Ireland","irl",223496782
"eu","Europe","euisl","Iceland","isl",81588
"eu","Europe","euita","Italy","ita",268555071
"eu","Europe","eultu","Lithuania","ltu",20633183
"eu","Europe","eulux","Luxembourg","lux",6364878
"eu","Europe","eulva","Latvia","lva",2747595
"eu","Europe","eumda","Moldova","mda",124448
"eu","Europe","eumkd","North Macedonia","mkd",112443
"eu","Europe","eumlt","Malta","mlt",16034.999999999998
"eu","Europe","eunld","Netherlands","nld",132680902
"eu","Europe","eunor","Norway","nor",9364282
"eu","Europe","eupol","Poland","pol",335050656
"eu","Europe","euprt","Portugal","prt",58147021
"eu","Europe","eurou","Romania","rou",64493969
"eu","Europe","eurus","Russia","rus",110341648
"eu","Europe","eusmr","San Marino","smr",60696.99999999999
"eu","Europe","eusrb","Serbia","srb",26631649
"eu","Europe","eusvk","Slovakia","svk",5188062
"eu","Europe","eusvn","Slovenia","svn",116864153
"eu","Europe","euswe","Sweden","swe",8609400
"eu","Europe","euukr","Ukraine","ukr",3950441
"na","North America","naatg","Antigua and Barbuda","atg",677
"na","North America","nablz","Belize","blz",494390.99999999994
"na","North America","nabrb","Barbados","brb",14249
"na","North America","nacan","Canada","can",71617004
"na","North America","nacri","Costa Rica","cri",31784521
"na","North America","nacub","Cuba","cub",840
"na","North America","nadom","Dominican Republic","dom",1784753
"na","North America","nagtm","Guatemala","gtm",67420359
"na","North America","nahnd","Honduras","hnd",11599
"na","North America","najam","Jamaica","jam",118674
"na","North America","namex","Mexico","mex",46688377
"na","North America","nanic","Nicaragua","nic",337636
"na","North America","napan","Panama","pan",4131410
"na","North America","naslv","El Salvador","slv",83858483
"na","North America","natto","Trinidad and Tobago","tto",291510
"na","North America","nausa","United States","usa",1795941931
"oc","Oceania","ocaus","Australia","aus",84863865
"oc","Oceania","ocfji","Fiji","fji",25976
"oc","Oceania","ocnzl","New Zealand","nzl",2806985
"oc","Oceania","ocpcn","Pitcairn Islands","pcn",209
"sa","South America","saarg","Argentina","arg",139535654
"sa","South America","sabol","Bolivia","bol",246793.99999999997
"sa","South America","sabra","Brazil","bra",89771062
"sa","South America","sachl","Chile","chl",5603805
"sa","South America","sacol","Colombia","col",95191444
"sa","South America","saecu","Ecuador","ecu",4617263
"sa","South America","saguy","Guyana","guy",21355
"sa","South America","saper","Peru","per",1276976
"sa","South America","sapry","Paraguay","pry",89469472
"sa","South America","saury","Uruguay","ury",11598401
"sa","South America","saven","Venezuela","ven",247751
