"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",9057
"af","Africa","afbdi","Burundi","bdi",8850
"af","Africa","afben","Benin","ben",82142
"af","Africa","afbfa","Burkina Faso","bfa",393952
"af","Africa","afbwa","Botswana","bwa",27111
"af","Africa","afciv","Cote d'Ivoire","civ",17092511
"af","Africa","afcmr","Cameroon","cmr",11655
"af","Africa","afcod","Democratic Republic of the Congo","cod",472
"af","Africa","afcog","Republic of the Congo","cog",7609
"af","Africa","afcpv","Cape Verde","cpv",6577.000000000001
"af","Africa","afdza","Algeria","dza",159641
"af","Africa","afegy","Egypt","egy",8379656
"af","Africa","afeth","Ethiopia","eth",25310
"af","Africa","afgab","Gabon","gab",2973.9999999999995
"af","Africa","afgha","Ghana","gha",406913
"af","Africa","afgin","Guinea","gin",2016
"af","Africa","afgnq","Equatorial Guinea","gnq",7197622
"af","Africa","afken","Kenya","ken",6426009
"af","Africa","aflso","Lesotho","lso",414
"af","Africa","afmar","Morocco","mar",687082
"af","Africa","afmdg","Madagascar","mdg",76075.99999999999
"af","Africa","afmli","Mali","mli",394382.00000000006
"af","Africa","afmoz","Mozambique","moz",475693.99999999994
"af","Africa","afmus","Mauritius","mus",5387919.999999999
"af","Africa","afmwi","Malawi","mwi",14766
"af","Africa","afnam","Namibia","nam",132378
"af","Africa","afnga","Nigeria","nga",12141000
"af","Africa","afrwa","Rwanda","rwa",1827017
"af","Africa","afsdn","Sudan","sdn",75577
"af","Africa","afsen","Senegal","sen",803154
"af","Africa","afsle","Sierra Leone","sle",48220
"af","Africa","afswz","Eswatini","swz",26321
"af","Africa","afsyc","Seychelles","syc",176116
"af","Africa","aftgo","Togo","tgo",146412
"af","Africa","aftun","Tunisia","tun",3010063
"af","Africa","aftza","Tanzania","tza",4415438
"af","Africa","afuga","Uganda","uga",211121
"af","Africa","afzaf","South Africa","zaf",78462337
"af","Africa","afzmb","Zambia","zmb",377025
"af","Africa","afzwe","Zimbabwe","zwe",1458101
"as","Asia","asafg","Afghanistan","afg",286.00000000000006
"as","Asia","asare","United Arab Emirates","are",19964024
"as","Asia","asarm","Armenia","arm",293724
"as","Asia","asaze","Azerbaijan","aze",3451
"as","Asia","asbgd","Bangladesh","bgd",237441
"as","Asia","asbhr","Bahrain","bhr",125371.00000000001
"as","Asia","ascck","Cocos (Keeling) Islands","cck",16915
"as","Asia","aschn","China","chn",2183408600
"as","Asia","ascyp","Cyprus","cyp",886497
"as","Asia","asgeo","Georgia","geo",200491.00000000003
"as","Asia","ashkg","Hong Kong","hkg",10829946
"as","Asia","asidn","Indonesia","idn",245641407
"as","Asia","asind","India","ind",1628234788
"as","Asia","asirn","Iran","irn",522149
"as","Asia","asisr","Israel","isr",406434389
"as","Asia","asjor","Jordan","jor",35107439
"as","Asia","asjpn","Japan","jpn",299702191
"as","Asia","askaz","Kazakhstan","kaz",2002544
"as","Asia","askgz","Kyrgyzstan","kgz",1839023
