"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",57313
"af","Africa","afben","Benin","ben",721632
"af","Africa","afbfa","Burkina Faso","bfa",1324622
"af","Africa","afbwa","Botswana","bwa",6.999999999999999
"af","Africa","afciv","Cote d'Ivoire","civ",16093270
"af","Africa","afcmr","Cameroon","cmr",136704
"af","Africa","afdza","Algeria","dza",2100592884
"af","Africa","afegy","Egypt","egy",3071322937
"af","Africa","afgha","Ghana","gha",198893.00000000003
"af","Africa","afgnq","Equatorial Guinea","gnq",58726029
"af","Africa","afken","Kenya","ken",662894
"af","Africa","aflby","Libya","lby",104790114
"af","Africa","afmar","Morocco","mar",1049962
"af","Africa","afmdg","Madagascar","mdg",10109
"af","Africa","afmli","Mali","mli",1539405
"af","Africa","afmoz","Mozambique","moz",11530169
"af","Africa","afmus","Mauritius","mus",19699574
"af","Africa","afmwi","Malawi","mwi",3557705
"af","Africa","afnam","Namibia","nam",37757
"af","Africa","afner","Niger","ner",1477097
"af","Africa","afnga","Nigeria","nga",1991594367
"af","Africa","afsen","Senegal","sen",22112057
"af","Africa","afswz","Eswatini","swz",960464
"af","Africa","aftgo","Togo","tgo",4915892.000000001
"af","Africa","aftun","Tunisia","tun",28.999999999999996
"af","Africa","aftza","Tanzania","tza",1983307
"af","Africa","afzaf","South Africa","zaf",76051400
"af","Africa","afzmb","Zambia","zmb",821246
"as","Asia","asafg","Afghanistan","afg",1178794
"as","Asia","asare","United Arab Emirates","are",1036918947
"as","Asia","asarm","Armenia","arm",23805
"as","Asia","asaze","Azerbaijan","aze",247247368
"as","Asia","asbhr","Bahrain","bhr",395600354
"as","Asia","asbrn","Brunei","brn",241123175
"as","Asia","aschn","China","chn",1700350616
"as","Asia","ascyp","Cyprus","cyp",410262
"as","Asia","asgeo","Georgia","geo",431453981
"as","Asia","ashkg","Hong Kong","hkg",2415803
"as","Asia","asidn","Indonesia","idn",1197494897
"as","Asia","asind","India","ind",31829228
"as","Asia","asirn","Iran","irn",230318802
"as","Asia","asirq","Iraq","irq",1350323.9999999998
"as","Asia","asisr","Israel","isr",3357894
"as","Asia","asjor","Jordan","jor",555839
"as","Asia","asjpn","Japan","jpn",27053048
"as","Asia","askaz","Kazakhstan","kaz",8941267
"as","Asia","askgz","Kyrgyzstan","kgz",440834
"as","Asia","askhm","Cambodia","khm",9152.999999999998
"as","Asia","askor","South Korea","kor",21620700
"as","Asia","askwt","Kuwait","kwt",1906405
"as","Asia","aslao","Laos","lao",16
"as","Asia","aslbn","Lebanon","lbn",1286922
"as","Asia","asmys","Malaysia","mys",1439565557
"as","Asia","asomn","Oman","omn",4006544503
"as","Asia","aspak","Pakistan","pak",102375.00000000001
"as","Asia","asphl","Philippines","phl",70505
"as","Asia","asqat","Qatar","qat",3405157916
"as","Asia","assau","Saudi Arabia","sau",2575750338
"as","Asia","assgp","Singapore","sgp",23831102.000000004
"as","Asia","astha","Thailand","tha",33225837
"as","Asia","astkm","Turkmenistan","tkm",559854130
"as","Asia","astur","Turkey","tur",130922739
"as","Asia","astwn","Chinese Taipei","twn",6274309
"as","Asia","asuzb","Uzbekistan","uzb",208546760
"as","Asia","asvnm","Vietnam","vnm",548312978
"eu","Europe","eualb","Albania","alb",3882918
"eu","Europe","euand","Andorra","and",10593
"eu","Europe","euaut","Austria","aut",65963306
"eu","Europe","eubel","Belgium","bel",311858837
"eu","Europe","eubgr","Bulgaria","bgr",20553582
"eu","Europe","eubih","Bosnia and Herzegovina","bih",335629
"eu","Europe","eublr","Belarus","blr",27655367
"eu","Europe","euche","Switzerland","che",60480802
"eu","Europe","eucze","Czechia","cze",13594683
"eu","Europe","eudeu","Germany","deu",1018431781
"eu","Europe","eudnk","Denmark","dnk",10913425
"eu","Europe","euesp","Spain","esp",145762889
"eu","Europe","euest","Estonia","est",88457794
"eu","Europe","eufin","Finland","fin",494995853
"eu","Europe","eufra","France","fra",172983269
"eu","Europe","eugbr","United Kingdom","gbr",28110317
"eu","Europe","eugrc","Greece","grc",23049414
"eu","Europe","euhrv","Croatia","hrv",34584403
"eu","Europe","euhun","Hungary","hun",12190541
"eu","Europe","euirl","Ireland","irl",2925557.0000000005
"eu","Europe","euisl","Iceland","isl",535783
"eu","Europe","euita","Italy","ita",114090852
"eu","Europe","eultu","Lithuania","ltu",173612052
"eu","Europe","eulux","Luxembourg","lux",10528690.000000002
"eu","Europe","eulva","Latvia","lva",111034723
"eu","Europe","eumda","Moldova","mda",20916
"eu","Europe","eumkd","North Macedonia","mkd",2015503.0000000002
"eu","Europe","eumlt","Malta","mlt",640
"eu","Europe","eumne","Montenegro","mne",88391
"eu","Europe","eunld","Netherlands","nld",873518017
"eu","Europe","eunor","Norway","nor",1959466
"eu","Europe","eupol","Poland","pol",788208932
"eu","Europe","euprt","Portugal","prt",30351781
"eu","Europe","eurou","Romania","rou",81910080
"eu","Europe","eurus","Russia","rus",4005922721
"eu","Europe","eusrb","Serbia","srb",31466930
"eu","Europe","eusvk","Slovakia","svk",242653693
"eu","Europe","eusvn","Slovenia","svn",56519130
"eu","Europe","euswe","Sweden","swe",21043335
"eu","Europe","euukr","Ukraine","ukr",146818725
"na","North America","nablz","Belize","blz",2505
"na","North America","nabmu","Bermuda","bmu",3506438
"na","North America","nabrb","Barbados","brb",1460.9999999999998
"na","North America","nacan","Canada","can",391405883
"na","North America","nacri","Costa Rica","cri",4890731
"na","North America","nadom","Dominican Republic","dom",578426
"na","North America","nagtm","Guatemala","gtm",3683379
"na","North America","namex","Mexico","mex",10735497.999999998
"na","North America","napan","Panama","pan",7143
"na","North America","naslv","El Salvador","slv",2205799
"na","North America","natca","Turks and Caicos Islands","tca",24960967.999999996
"na","North America","natto","Trinidad and Tobago","tto",320230851
"na","North America","nausa","United States","usa",905268403
"oc","Oceania","ocaus","Australia","aus",2525668
"oc","Oceania","ocfji","Fiji","fji",899
"oc","Oceania","ocnzl","New Zealand","nzl",547565
"oc","Oceania","ocpcn","Pitcairn Islands","pcn",28001207.000000004
"sa","South America","saarg","Argentina","arg",1659581
"sa","South America","sabol","Bolivia","bol",194651453
"sa","South America","sabra","Brazil","bra",51026176
"sa","South America","sachl","Chile","chl",362692
"sa","South America","sacol","Colombia","col",1354350
"sa","South America","saecu","Ecuador","ecu",743324
"sa","South America","saguy","Guyana","guy",3078279.0000000005
"sa","South America","saper","Peru","per",1082483
"sa","South America","sapry","Paraguay","pry",209011
"sa","South America","saury","Uruguay","ury",16059
"sa","South America","saven","Venezuela","ven",157671817
