"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",1618055
"af","Africa","afbdi","Burundi","bdi",31113532
"af","Africa","afben","Benin","ben",250
"af","Africa","afbfa","Burkina Faso","bfa",416855
"af","Africa","afbwa","Botswana","bwa",76560
"af","Africa","afcaf","Central African Republic","caf",144979.99999999997
"af","Africa","afciv","Cote d'Ivoire","civ",100138636
"af","Africa","afcmr","Cameroon","cmr",22768652
"af","Africa","afcod","Democratic Republic of the Congo","cod",33698305
"af","Africa","afcog","Republic of the Congo","cog",12592869
"af","Africa","afcom","Comoros","com",99
"af","Africa","afcpv","Cape Verde","cpv",7644
"af","Africa","afdji","Djibouti","dji",7088526
"af","Africa","afdza","Algeria","dza",76378
"af","Africa","afegy","Egypt","egy",2992742
"af","Africa","aferi","Eritrea","eri",178.00000000000003
"af","Africa","afeth","Ethiopia","eth",1548473136
"af","Africa","afgab","Gabon","gab",867
"af","Africa","afgha","Ghana","gha",386968.00000000006
"af","Africa","afgin","Guinea","gin",33037595
"af","Africa","afgmb","Gambia","gmb",110
"af","Africa","afgnb","Guinea-Bissau","gnb",2184
"af","Africa","afgnq","Equatorial Guinea","gnq",161029
"af","Africa","afken","Kenya","ken",341359539
"af","Africa","aflbr","Liberia","lbr",361
"af","Africa","aflby","Libya","lby",12443
"af","Africa","aflso","Lesotho","lso",3398
"af","Africa","afmar","Morocco","mar",1355049
"af","Africa","afmdg","Madagascar","mdg",154823
"af","Africa","afmli","Mali","mli",1152
"af","Africa","afmoz","Mozambique","moz",63053
"af","Africa","afmrt","Mauritania","mrt",6546.999999999999
"af","Africa","afmus","Mauritius","mus",293704
"af","Africa","afmwi","Malawi","mwi",4394399
"af","Africa","afnam","Namibia","nam",49703
"af","Africa","afner","Niger","ner",478
"af","Africa","afnga","Nigeria","nga",59872
"af","Africa","afrwa","Rwanda","rwa",112191238
"af","Africa","afsdn","Sudan","sdn",45.99999999999999
"af","Africa","afsen","Senegal","sen",332459
"af","Africa","afshn","Saint Helena","shn",159814
"af","Africa","afsle","Sierra Leone","sle",3242069
"af","Africa","afsom","Somalia","som",193
"af","Africa","afstp","Sao Tome and Principe","stp",18219
"af","Africa","afswz","Eswatini","swz",689175
"af","Africa","aftgo","Togo","tgo",9833094
"af","Africa","aftun","Tunisia","tun",82754
"af","Africa","aftza","Tanzania","tza",225577017
"af","Africa","afuga","Uganda","uga",752604150
"af","Africa","afzaf","South Africa","zaf",20078832
"af","Africa","afzmb","Zambia","zmb",24161208
"af","Africa","afzwe","Zimbabwe","zwe",1360863
"as","Asia","asafg","Afghanistan","afg",1011.0000000000001
"as","Asia","asare","United Arab Emirates","are",116572453
"as","Asia","asarm","Armenia","arm",21834330
"as","Asia","asaze","Azerbaijan","aze",10724
"as","Asia","asbgd","Bangladesh","bgd",3952.0000000000005
"as","Asia","asbhr","Bahrain","bhr",590400
"as","Asia","asbrn","Brunei","brn",135523
"as","Asia","asbtn","Bhutan","btn",100483.00000000001
"as","Asia","aschn","China","chn",223420657
"as","Asia","ascxr","Christmas Island","cxr",7072
"as","Asia","ascyp","Cyprus","cyp",5810539
"as","Asia","asgeo","Georgia","geo",2161565
"as","Asia","ashkg","Hong Kong","hkg",4424232
"as","Asia","asidn","Indonesia","idn",1268413147
"as","Asia","asind","India","ind",876613173
"as","Asia","asiot","British Indian Ocean Territory","iot",4864
