"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",3766
"af","Africa","afbwa","Botswana","bwa",22285921
"af","Africa","afciv","Cote d'Ivoire","civ",12900
"af","Africa","afcmr","Cameroon","cmr",3897820.9999999995
"af","Africa","afcog","Republic of the Congo","cog",23426
"af","Africa","afegy","Egypt","egy",5660904
"af","Africa","afeth","Ethiopia","eth",89217
"af","Africa","afgha","Ghana","gha",753
"af","Africa","afgnq","Equatorial Guinea","gnq",1326493.9999999998
"af","Africa","afken","Kenya","ken",7689756
"af","Africa","afmar","Morocco","mar",142384
"af","Africa","afmli","Mali","mli",445
"af","Africa","afmoz","Mozambique","moz",17885
"af","Africa","afmrt","Mauritania","mrt",106135
"af","Africa","afmus","Mauritius","mus",3323
"af","Africa","afnam","Namibia","nam",23763913
"af","Africa","afnga","Nigeria","nga",26
"af","Africa","afrwa","Rwanda","rwa",145913
"af","Africa","afsdn","Sudan","sdn",63586.99999999999
"af","Africa","afsen","Senegal","sen",104282
"af","Africa","afsle","Sierra Leone","sle",510
"af","Africa","afsom","Somalia","som",105562.99999999999
"af","Africa","afswz","Eswatini","swz",1688817
"af","Africa","afsyc","Seychelles","syc",446
"af","Africa","aftza","Tanzania","tza",125629
"af","Africa","afuga","Uganda","uga",185082
"af","Africa","afzaf","South Africa","zaf",52975013
"af","Africa","afzmb","Zambia","zmb",1296788
"as","Asia","asare","United Arab Emirates","are",169312087
"as","Asia","asaze","Azerbaijan","aze",1460
"as","Asia","asbgd","Bangladesh","bgd",339475
"as","Asia","asbhr","Bahrain","bhr",431161
"as","Asia","asbtn","Bhutan","btn",149105
"as","Asia","aschn","China","chn",7358614
"as","Asia","ascyp","Cyprus","cyp",937361
"as","Asia","asgeo","Georgia","geo",4229739
"as","Asia","ashkg","Hong Kong","hkg",123150839
"as","Asia","asidn","Indonesia","idn",528297
"as","Asia","asind","India","ind",2884862957
"as","Asia","asirn","Iran","irn",159506
"as","Asia","asisr","Israel","isr",3585231.0000000005
"as","Asia","asjor","Jordan","jor",7094785
"as","Asia","asjpn","Japan","jpn",184547149
"as","Asia","askaz","Kazakhstan","kaz",1144704
"as","Asia","askgz","Kyrgyzstan","kgz",268748
"as","Asia","askor","South Korea","kor",696730
"as","Asia","askwt","Kuwait","kwt",5738532
"as","Asia","aslbn","Lebanon","lbn",367979
"as","Asia","aslka","Sri Lanka","lka",340651
"as","Asia","asmac","Macau","mac",772
"as","Asia","asmmr","Burma","mmr",30976
"as","Asia","asmng","Mongolia","mng",475942
"as","Asia","asmys","Malaysia","mys",5320789
"as","Asia","asomn","Oman","omn",1746778
"as","Asia","aspak","Pakistan","pak",8720609
"as","Asia","asphl","Philippines","phl",33787
"as","Asia","asqat","Qatar","qat",151217
"as","Asia","assau","Saudi Arabia","sau",14177121
"as","Asia","assgp","Singapore","sgp",26119628
"as","Asia","astha","Thailand","tha",281348
"as","Asia","astur","Turkey","tur",15439738
"as","Asia","astwn","Chinese Taipei","twn",1398797
"as","Asia","asuzb","Uzbekistan","uzb",48068
"as","Asia","asvnm","Vietnam","vnm",5660576
"as","Asia","asyem","Yemen","yem",34447
"eu","Europe","eualb","Albania","alb",6225
"eu","Europe","euand","Andorra","and",4609
"eu","Europe","euaut","Austria","aut",124899833
"eu","Europe","eubel","Belgium","bel",71094884
"eu","Europe","eubgr","Bulgaria","bgr",1767182
"eu","Europe","eubih","Bosnia and Herzegovina","bih",3175
"eu","Europe","eublr","Belarus","blr",229152757
"eu","Europe","euche","Switzerland","che",7685458
"eu","Europe","eucze","Czechia","cze",8091368
"eu","Europe","eudeu","Germany","deu",321558717
"eu","Europe","eudnk","Denmark","dnk",74818200
"eu","Europe","euesp","Spain","esp",257728750
"eu","Europe","euest","Estonia","est",5187992
"eu","Europe","eufin","Finland","fin",2244801
"eu","Europe","eufra","France","fra",144529493
"eu","Europe","eugbr","United Kingdom","gbr",128301735
"eu","Europe","eugrc","Greece","grc",6254790
"eu","Europe","euhrv","Croatia","hrv",8760718
"eu","Europe","euhun","Hungary","hun",16930793
"eu","Europe","euirl","Ireland","irl",680758352
"eu","Europe","euisl","Iceland","isl",7917
"eu","Europe","euita","Italy","ita",245664856
"eu","Europe","eultu","Lithuania","ltu",60545505
"eu","Europe","eulux","Luxembourg","lux",2995778
"eu","Europe","eulva","Latvia","lva",10764981
"eu","Europe","eumda","Moldova","mda",1953638
"eu","Europe","eumkd","North Macedonia","mkd",26827
"eu","Europe","eumlt","Malta","mlt",21849375.999999996
"eu","Europe","eumne","Montenegro","mne",2379125
"eu","Europe","eunld","Netherlands","nld",468771059
"eu","Europe","eunor","Norway","nor",875081
