"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",1009712
"af","Africa","afbdi","Burundi","bdi",1147
"af","Africa","afben","Benin","ben",52.00000000000001
"af","Africa","afbfa","Burkina Faso","bfa",7619
"af","Africa","afbwa","Botswana","bwa",813893
"af","Africa","afciv","Cote d'Ivoire","civ",397
"af","Africa","afcmr","Cameroon","cmr",41892
"af","Africa","afcod","Democratic Republic of the Congo","cod",24290
"af","Africa","afdji","Djibouti","dji",116283.99999999999
"af","Africa","afdza","Algeria","dza",1234543
"af","Africa","afegy","Egypt","egy",22884243
"af","Africa","afeth","Ethiopia","eth",133
"af","Africa","afgha","Ghana","gha",91
"af","Africa","afgnq","Equatorial Guinea","gnq",4326.000000000001
"af","Africa","afken","Kenya","ken",107891
"af","Africa","aflso","Lesotho","lso",4794
"af","Africa","afmar","Morocco","mar",5874821
"af","Africa","afmdg","Madagascar","mdg",3293446.0000000005
"af","Africa","afmoz","Mozambique","moz",44493877
"af","Africa","afmrt","Mauritania","mrt",30133
"af","Africa","afmus","Mauritius","mus",108610734
"af","Africa","afmwi","Malawi","mwi",26792960
"af","Africa","afnam","Namibia","nam",495118
"af","Africa","afnga","Nigeria","nga",7666
"af","Africa","afrwa","Rwanda","rwa",6256661.999999999
"af","Africa","afsen","Senegal","sen",423
"af","Africa","afsle","Sierra Leone","sle",103.00000000000001
"af","Africa","afswz","Eswatini","swz",250682514
"af","Africa","aftgo","Togo","tgo",1710
"af","Africa","aftun","Tunisia","tun",190
"af","Africa","aftza","Tanzania","tza",3785.9999999999995
"af","Africa","afuga","Uganda","uga",8858677
"af","Africa","afzaf","South Africa","zaf",216518617
"af","Africa","afzmb","Zambia","zmb",65706218
"af","Africa","afzwe","Zimbabwe","zwe",33564682
"an","Antarctica","anatf","French South Antarctic Territory","atf",20199
"as","Asia","asafg","Afghanistan","afg",13774
"as","Asia","asare","United Arab Emirates","are",97367541
"as","Asia","asarm","Armenia","arm",626556.0000000001
"as","Asia","asbgd","Bangladesh","bgd",6866
"as","Asia","asbhr","Bahrain","bhr",713
"as","Asia","asbrn","Brunei","brn",1775
"as","Asia","aschn","China","chn",8196170
"as","Asia","ascyp","Cyprus","cyp",109246
"as","Asia","asgeo","Georgia","geo",3733397.9999999995
"as","Asia","ashkg","Hong Kong","hkg",297698
"as","Asia","asidn","Indonesia","idn",513835
"as","Asia","asind","India","ind",2911915388
"as","Asia","asirn","Iran","irn",103496.00000000001
"as","Asia","asisr","Israel","isr",15485
"as","Asia","asjor","Jordan","jor",21362
"as","Asia","asjpn","Japan","jpn",680166
"as","Asia","askaz","Kazakhstan","kaz",4
"as","Asia","askgz","Kyrgyzstan","kgz",1035
"as","Asia","askhm","Cambodia","khm",512846
"as","Asia","askor","South Korea","kor",499373
"as","Asia","askwt","Kuwait","kwt",37429
"as","Asia","aslao","Laos","lao",9809784
"as","Asia","aslbn","Lebanon","lbn",3122
"as","Asia","aslka","Sri Lanka","lka",348825
"as","Asia","asmac","Macau","mac",6854
"as","Asia","asmdv","Maldives","mdv",28535.999999999996
"as","Asia","asmmr","Burma","mmr",11395868
"as","Asia","asmys","Malaysia","mys",3787793
"as","Asia","asomn","Oman","omn",719162
"as","Asia","aspak","Pakistan","pak",164802
"as","Asia","asphl","Philippines","phl",6369367
"as","Asia","assau","Saudi Arabia","sau",2466259
"as","Asia","assgp","Singapore","sgp",6872580
"as","Asia","astha","Thailand","tha",1606651878
"as","Asia","astur","Turkey","tur",7701
"as","Asia","astwn","Chinese Taipei","twn",5530960
"as","Asia","asvnm","Vietnam","vnm",163586
"eu","Europe","euaut","Austria","aut",6119713
"eu","Europe","eubel","Belgium","bel",24241233
"eu","Europe","eubgr","Bulgaria","bgr",300857
"eu","Europe","eubih","Bosnia and Herzegovina","bih",122867.99999999999
"eu","Europe","euche","Switzerland","che",5536262
"eu","Europe","eucze","Czechia","cze",6772901
"eu","Europe","eudeu","Germany","deu",19547396
"eu","Europe","eudnk","Denmark","dnk",1070504
"eu","Europe","euesp","Spain","esp",8399131
"eu","Europe","euest","Estonia","est",47018
"eu","Europe","eufin","Finland","fin",669752
"eu","Europe","eufra","France","fra",88079604
"eu","Europe","eugbr","United Kingdom","gbr",2396020
"eu","Europe","eugrc","Greece","grc",131159
"eu","Europe","euhrv","Croatia","hrv",4160996.9999999995
"eu","Europe","euhun","Hungary","hun",777292
"eu","Europe","euirl","Ireland","irl",325254
"eu","Europe","euita","Italy","ita",4909754
"eu","Europe","eultu","Lithuania","ltu",1500183
"eu","Europe","eulux","Luxembourg","lux",22034
"eu","Europe","eulva","Latvia","lva",76241
"eu","Europe","eumkd","North Macedonia","mkd",327150
"eu","Europe","eumlt","Malta","mlt",539722
"eu","Europe","eumne","Montenegro","mne",17629
"eu","Europe","eunld","Netherlands","nld",22843504
"eu","Europe","eunor","Norway","nor",104
"eu","Europe","eupol","Poland","pol",5181561
"eu","Europe","euprt","Portugal","prt",15971932
"eu","Europe","eurou","Romania","rou",158226
"eu","Europe","eurus","Russia","rus",78082
"eu","Europe","eusrb","Serbia","srb",9663
"eu","Europe","eusvk","Slovakia","svk",1425361
"eu","Europe","eusvn","Slovenia","svn",446870
"eu","Europe","euswe","Sweden","swe",3051956
"eu","Europe","euukr","Ukraine","ukr",1956.9999999999998
"na","North America","naabw","Aruba","abw",1934.0000000000002
"na","North America","naatg","Antigua and Barbuda","atg",1046
"na","North America","nablz","Belize","blz",80087879
"na","North America","nabrb","Barbados","brb",966949
"na","North America","nacan","Canada","can",229239
"na","North America","nacri","Costa Rica","cri",85719034
