"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afbdi","Burundi","bdi",1499
"af","Africa","afben","Benin","ben",313687611
"af","Africa","afbfa","Burkina Faso","bfa",53480618
"af","Africa","afciv","Cote d'Ivoire","civ",184837
"af","Africa","afcmr","Cameroon","cmr",864
"af","Africa","afcod","Democratic Republic of the Congo","cod",11870
"af","Africa","afcog","Republic of the Congo","cog",27.999999999999996
"af","Africa","afdji","Djibouti","dji",7177753.000000001
"af","Africa","afdza","Algeria","dza",135
"af","Africa","afegy","Egypt","egy",57913
"af","Africa","afeth","Ethiopia","eth",22757517
"af","Africa","afgha","Ghana","gha",29643819
"af","Africa","afgmb","Gambia","gmb",614
"af","Africa","afgnq","Equatorial Guinea","gnq",83
"af","Africa","afken","Kenya","ken",920
"af","Africa","aflby","Libya","lby",139
"af","Africa","aflso","Lesotho","lso",275
"af","Africa","afmar","Morocco","mar",8470
"af","Africa","afmdg","Madagascar","mdg",411008
"af","Africa","afmli","Mali","mli",182
"af","Africa","afmoz","Mozambique","moz",25328191
"af","Africa","afmus","Mauritius","mus",9009
"af","Africa","afmwi","Malawi","mwi",10462213
"af","Africa","afnam","Namibia","nam",5
"af","Africa","afner","Niger","ner",3929907
"af","Africa","afnga","Nigeria","nga",10842602
"af","Africa","afrwa","Rwanda","rwa",389.99999999999994
"af","Africa","afsdn","Sudan","sdn",5697843.000000001
"af","Africa","afsen","Senegal","sen",16
"af","Africa","aftgo","Togo","tgo",275857085
"af","Africa","aftun","Tunisia","tun",197.99999999999997
"af","Africa","aftza","Tanzania","tza",31595516
"af","Africa","afuga","Uganda","uga",2689845
"af","Africa","afzaf","South Africa","zaf",155691776
"af","Africa","afzmb","Zambia","zmb",13245031
"af","Africa","afzwe","Zimbabwe","zwe",89034
"as","Asia","asare","United Arab Emirates","are",18272577
"as","Asia","asarm","Armenia","arm",422.00000000000006
"as","Asia","asbgd","Bangladesh","bgd",49
"as","Asia","asbhr","Bahrain","bhr",6548.000000000001
"as","Asia","asbrn","Brunei","brn",1740
"as","Asia","aschn","China","chn",198095639
"as","Asia","ascyp","Cyprus","cyp",2145
"as","Asia","ashkg","Hong Kong","hkg",209189
"as","Asia","asidn","Indonesia","idn",8063992
"as","Asia","asind","India","ind",59361035
"as","Asia","asirn","Iran","irn",66516
"as","Asia","asisr","Israel","isr",4409
"as","Asia","asjor","Jordan","jor",53
"as","Asia","asjpn","Japan","jpn",1018047
"as","Asia","askaz","Kazakhstan","kaz",29676462
"as","Asia","askgz","Kyrgyzstan","kgz",284
"as","Asia","askhm","Cambodia","khm",19344771
"as","Asia","askor","South Korea","kor",252496
"as","Asia","aslao","Laos","lao",26770
"as","Asia","aslbn","Lebanon","lbn",1503
"as","Asia","aslka","Sri Lanka","lka",249866
"as","Asia","asmac","Macau","mac",2235
"as","Asia","asmmr","Burma","mmr",567286
"as","Asia","asmys","Malaysia","mys",44391924.00000001
"as","Asia","asnpl","Nepal","npl",30236
"as","Asia","asomn","Oman","omn",223.99999999999997
"as","Asia","aspak","Pakistan","pak",61783
"as","Asia","asphl","Philippines","phl",2838
"as","Asia","assgp","Singapore","sgp",4457862
"as","Asia","astha","Thailand","tha",589384
"as","Asia","astur","Turkey","tur",83477824
"as","Asia","astwn","Chinese Taipei","twn",2937660
"as","Asia","asuzb","Uzbekistan","uzb",1859
"as","Asia","asvnm","Vietnam","vnm",3153226
"eu","Europe","euaut","Austria","aut",73463492
"eu","Europe","eubel","Belgium","bel",60848080
"eu","Europe","eubgr","Bulgaria","bgr",827974
"eu","Europe","eubih","Bosnia and Herzegovina","bih",3769861
"eu","Europe","eublr","Belarus","blr",45915
"eu","Europe","euche","Switzerland","che",95570273
"eu","Europe","eucze","Czechia","cze",17243324
"eu","Europe","eudeu","Germany","deu",66215413
"eu","Europe","eudnk","Denmark","dnk",4344525
"eu","Europe","euesp","Spain","esp",5735742
"eu","Europe","euest","Estonia","est",245924
"eu","Europe","eufin","Finland","fin",28184
"eu","Europe","eufra","France","fra",92481409
"eu","Europe","eugbr","United Kingdom","gbr",502696
"eu","Europe","eugrc","Greece","grc",84906
"eu","Europe","euhrv","Croatia","hrv",93684018
"eu","Europe","euhun","Hungary","hun",75120060
"eu","Europe","euirl","Ireland","irl",5302625
"eu","Europe","euisl","Iceland","isl",2709
"eu","Europe","euita","Italy","ita",32812775
"eu","Europe","eultu","Lithuania","ltu",495629
