Country (or area),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
United States *,"1,024,800","1,113,100","1,225,000","1,369,300","1,485,900","1,623,400","1,809,100","2,013,600","2,276,000","2,543,500"
Soviet Union *,"433,412","455,576","515,797","617,777","616,593","685,972","688,53","738,417","840,139","901,616"
Japan *,"209,071","236,155","312,738","424,891","471,643","512,861","576,406","709,405","996,742","1,037,453"
Germany *,"208,867","241,914","290,117","385,518","430,928","474,785","502,961","581,104","716,567","852,855"
France *,"146,436","163,704","200,946","261,468","282,158","355,617","367,273","405,397","500,052","605,041"
United Kingdom *,"124,97","141,314","162,369","183,201","197,882","236,514","227,217","256,596","325,244","422,476"
Italy *,"109,791","120,709","140,634","169,911","193,228","220,469","217,583","249,389","305,032","381,143"
China *,"91,039","98,059","111,589","136,071","141,529","160,34","150,854","171,467","214,16","263,19"
Canada *,"86,303","97,475","111,031","128,945","157,498","170,692","202,829","207,789","214,677","238,664"
India *,"61,47","65,947","71,735","85,546","96,552","100,437","101,196","117,421","135,833","150,317"
Australia *,"45,121","50,36","59,269","85,621","102,047","108,853","117,298","116,222","135,608","150,133"
Mexico *,"43,426","47,897","55,2","67,532","87,943","107,525","108,589","100,097","125,438","164,346"
Spain *,"39,801","45,263","57,417","76,365","94,447","111,435","115,065","128,59","155,939","208,351"
Sweden *,"35,404","38,633","45,499","55,213","61,354","77,036","83,056","87,801","97,072","114,679"
Netherlands *,"35,353","41,294","50,675","66,943","79,169","93,227","101,716","118,821","145,331","166,432"
Brazil *,"35,214","39,332","50,624","71,673","91,888","108,051","127,741","148,672","168,803","186,095"
Argentina *,"33,985","40,655","37,908","41,468","47,637","51,741","54,575","61,662","63,865","73,987"
Poland *,"27,665","30,63","33,866","40,088","44,981","47,893","53,394","59,219","67,066","75,076"
Belgium *,"26,85","29,982","37,409","47,999","56,334","66,028","71,495","83,282","101,793","116,94"
Turkey *,"24,444","23,057","28,975","36,385","50,191","62,735","71,763","81,839","90,347","123,319"
Switzerland *,"22,953","27,583","33,831","45,496","52,433","60,111","62,874","67,152","93,912","105,563"
South Africa *,"17,907","19,765","20,753","28,445","35,729","36,948","35,475","39,4","45,328","55,937"
Denmark *,"16,591","18,515","22,591","29,962","33,347","39,594","43,676","48,855","59,296","69,161"
Czechoslovakia *,"16,294","17,039","19,527","23,074","24,754","27,3","26,914","38,583","42,501","45,672"
Austria *,"15,336","17,816","22,007","29,444","35,104","39,962","42,856","51,423","61,901","73,763"
Yugoslavia *,"14,554","15,802","16,485","21,472","29,706","33,279","37,563","45,673","54,338","68,198"
Venezuela *,"13,83","15,19","16,73","19,926","30,53","32,125","36,751","42,355","45,987","56,508"
Norway *,"12,73","14,476","17,22","22,342","26,876","32,566","35,576","41,07","46,016","52,548"
Romania *,"12,712","15,081","17,399","20,272","21,233","22,874","25,709","27,79","32,761","35,353"
Greece *,"12,524","13,908","16,094","21,3","24,163","27,212","29,715","34,493","42,2","51,954"
Pakistan *,"12,191","12,967","7,656","8,21","10,819","13,653","16,009","18,389","21,654","23,936"
Nigeria *,"11,567","14,026","16,829","21,14","32,688","39,763","48,441","54,157","60,593","74,798"
Finland *,"11,113","12,257","14,425","19,053","24,312","29,122","31,469","33,102","35,826","43,934"
Colombia *,"10,193","11,062","12,282","14,531","17,462","18,508","21,674","27,519","32,864","39,497"
Iran *,"10,032","12,631","15,785","25,134","43,806","48,877","63,404","74,362","73,233","85,61"
Indonesia *,"9,805","10,295","12,083","17,878","28,349","33,472","40,948","50,331","56,535","56,473"
Chile *,"9,559","11,443","12,354","17,611","17,069","7,941","10,843","14,699","16,94","22,806"
Bulgaria *,9,"8,897","10,407","12,409","13,495","11,908","12,625","12,908","13,982","9,408"
South Korea *,"8,936","9,894","10,794","13,805","19,397","21,648","29,774","38,227","51,539","66,218"
Egypt *,"8,143","8,629","9,227","9,589","11,334","12,678","14,974","19,136","23,432","15,616"
Portugal *,8,"9,081","11,086","14,892","17,274","19,096","20,064","21,151","23,179","26,265"
Philippines *,"7,413","8,209","8,883","11,172","15,269","16,502","18,944","21,77","25,158","30,471"
Thailand *,"7,374","7,676","8,509","11,28","14,261","15,489","17,677","20,585","24,984","28,483"
New Zealand *,"6,507","7,799","9,418","12,489","14,121","13,656","13,874","15,132","18,315","21,051"
Hungary *,"6,27","6,824","8,004","9,911","10,863","12,387","14,354","16,031","18,741","21,639"
Bangladesh *,"6,196","5,578","6,215","6,772","8,088","8,476","9,447","9,95","12,751","14,758"
Israel *,"6,07","6,401","8,431","10,807","14,655","14,502","15,243","16,495","16,232","20,891"
Peru *,"5,861","6,539","7,248","8,667","10,928","13,346","12,729","11,475","9,851","12,583"
Cuba *,"5,693","6,915","8,135","9,988","11,406","13,027","13,79","14,206","17,845","19,584"
Curaçao *,"5,693","6,915","8,135","9,988","11,406","13,027","13,79","14,206","17,845","19,584"
Puerto Rico *,"5,647","6,329","7,002","7,685","8,198","8,969","9,911","11,165","12,75","14,436"
Saudi Arabia *,"5,377","7,185","9,664","14,947","45,413","46,773","64,006","74,189","80,267","111,858"
Algeria *,"5,167","5,376","7,193","9,25","13,29","15,591","17,79","21,038","26,433","33,276"
North Korea *,"4,927","5,44","6,006","6,63","7,32","8,081","8,412","8,757","9,116","9,49"
Morocco *,"4,421","4,731","5,681","6,973","8,576","10,039","10,71","12,347","14,79","17,779"
Ireland *,"4,295","4,979","6,21","7,356","7,799","9,279","9,285","10,972","14,254","18,023"
Libya *,"4,268","4,881","5,845","8,003","14,022","13,649","17,719","20,809","20,537","28,332"
Hong Kong *,"3,812","4,456","5,702","8,022","9,374","10,044","12,873","15,706","18,297","22,495"
Angola *,"3,807","4,007","4,102","5,016","5,627","4,147","3,981","4,344","4,845","5,38"
Malaysia *,"3,737","4,586","5,449","8,279","10,26","10,079","11,939","14,196","17,674","22,919"
Ghana *,"3,549","3,874","3,386","3,124","3,641","3,49","3,559","3,872","4,495","4,748"
Mozambique *,"3,047","3,392","3,797","4,472","4,676","4,841","4,409","4,463","4,663","4,903"
Democratic Republic of the Congo,3,"3,353","3,701","4,719","5,754","6,138","5,786","7,401","10,507","10,297"
Kuwait *,"2,873","3,881","4,448","5,405","13,004","12,016","13,12","14,14","15,502","24,75"
Vietnam *,"2,775","3,024","3,237","3,35","3,605","3,896","4,541","5,413","6,532","7,14"
Myanmar *,"2,692","2,757","2,568","3,34","3,981","3,68","4,089","4,191","4,678","5,365"
Ethiopia *,"2,559","2,709","2,958","3,421","3,846","3,828","4,16","4,73","5,034","5,533"
Uruguay *,"2,538","3,049","2,45","3,129","4,334","3,825","4,007","4,488","5,377","7,698"
Sri Lanka *,"2,46","2,518","2,812","3,06","3,809","3,941","3,749","4,242","2,907","3,55"
Iraq *,"2,32","2,605","2,615","3,283","3,87","4,845","6,178","6,693","8,468","11,371"
Albania *,"2,266","2,331","2,398","2,467","2,537","2,61","2,686","2,761","2,842","2,372"
Kenya *,"2,195","2,432","2,727","3,217","3,836","4,206","4,483","5,794","6,86","7,869"
Zimbabwe *,"2,023","2,339","2,888","3,552","4,274","4,692","4,637","4,683","4,686","5,559"
Singapore *,"1,919","2,27","2,95","4,228","5,261","5,787","6,066","6,694","8,048","9,702"
Tanzania *,"1,906","2,039","2,321","2,77","3,326","3,829","4,147","4,955","5,934","6,282"
Dominican Republic *,"1,832","2,055","2,451","2,892","3,609","4,439","4,874","5,658","5,839","6,782"
Ecuador *,"1,762","1,686","1,973","2,62","3,906","4,536","5,596","7,005","8,056","9,851"
Syria *,"1,756","2,063","2,381","2,55","4,09","5,311","6,388","6,991","8,384","10,077"
Afghanistan *,"1,749","1,831","1,596","1,733","2,156","2,367","2,556","2,953","3,3","3,698"
Guatemala *,"1,697","1,769","1,874","2,29","2,818","3,25","3,892","4,886","5,412","6,154"
Jamaica *,"1,591","1,741","2,119","2,173","2,7","3,251","3,371","3,694","3,006","2,765"
Tunisia *,"1,588","1,859","2,468","3,012","3,912","4,775","4,973","5,637","6,584","7,93"
Zambia *,"1,544","1,574","1,852","2,35","2,895","2,658","2,814","2,767","3,098","3,827"
Ivory Coast *,"1,501","1,597","1,872","2,54","3,07","3,894","4,662","6,265","7,901","9,142"
Lebanon *,"1,489","1,673","2,086","2,721","3,496","3,258","1,427","2,529","2,977","3,633"
Luxembourg *,"1,445","1,506","1,886","2,588","3,157","3,097","3,395","3,757","4,679","5,47"
Uganda *,"1,316","1,456","1,582","1,851","2,242","2,524","2,668","2,876","2,955","2,801"
Costa Rica *,"1,251","1,369","1,573","1,943","2,118","2,492","3,065","3,904","4,477","5,127"
Sudan *,"1,234","1,339","1,659","2,134","2,6","3,242","4,043","4,751","5,112","5,646"
Cameroon *,"1,157","1,297","1,673","2,272","2,427","3,187","3,473","4,062","5,347","7,116"
Panama *,"1,147","1,294","1,422","1,626","1,859","2,082","2,211","2,344","2,779","3,181"
United Arab Emirates *,"1,053","1,443","2,173","4,213","11,617","14,721","19,213","24,872","23,776","31,226"
Nepal *,"1,041","1,061","1,231","1,144","1,458","1,617","1,494","1,484","1,749","1,987"
Bolivia *,"1,01","1,094","1,279","1,249","2,099","2,399","2,749","2,765","3,02","3,274"
Senegal *,952,984,"1,19","1,368","1,543","2,078","2,107","2,157","2,403","2,998"
Madagascar *,898,971,"1,11","1,367","1,549","1,844","1,762","1,905","2,156","2,798"
Nicaragua *,882,939,1,"1,242","1,727","1,806","2,098","2,543","2,431","1,74"
Honduras *,824,872,958,"1,089","1,234","1,341","1,608","1,992","2,302","2,686"
