Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
United States,"5,963,125","6,158,125","6,520,325","6,858,550","7,287,250","7,639,750","8,073,125","8,577,550","9,062,825","9,631,175"
Japan,"3,185,914","3,648,078","3,980,715","4,536,955","4,998,798","5,545,566","4,923,393","4,492,449","4,098,363","4,635,982"
Germany,"1,598,640","1,875,618","2,136,312","2,072,457","2,209,934","2,588,002","2,498,113","2,214,694","2,242,065","2,197,125"
France,"1,272,433","1,273,594","1,404,391","1,324,236","1,396,653","1,602,130","1,606,035","1,454,555","1,505,184","1,494,634"
United Kingdom,"1,197,021","1,248,625","1,289,587","1,155,162","1,241,720","1,344,504","1,421,099","1,561,239","1,653,852","1,688,248"
Italy,"1,162,272","1,227,727","1,302,796","1,047,616","1,080,544","1,175,276","1,312,782","1,243,229","1,271,702","1,253,691"
Canada,"596,089","612,514","594,376","579,059","579,913","605,941","630,598","655,01","634,004","678,417"
Iran,"581,008","304,065","50,472","64,449","79,818","114,941","158,032","184,138",205,"275,092"
Spain,"535,652","576,446","630,122","529,319","531,137","613,946","640,026","589,376","618,414","635,968"
Brazil,"455,335","399,249","382,465","429,184","546,764","770,86","851,146","883,862","864,307","599,642"
China,"396,59","413,209","492,148","617,433","561,686","730,996","860,468","957,991","1,024,167","1,088,346"
Australia,"324,069","324,449","318,084","309,298","353,374","379,095","424,75","426,412","381,5","412,062"
Netherlands,"321,405","331,097","366,004","355,931","382,55","452,71","450,625","417,329","438,61","447,493"
India,"320,979","270,105","288,21","279,295","327,275","360,281","392,902","415,895","421,378","458,821"
Mexico,"307,613","368,772","427,661","530,226","553,618","380,182","432,158","523,45","557,485","631,24"
South Korea,"283,365","330,658","355,516","392,731","463,432","566,595","610,164","570,594","382,855","497,254"
Switzerland,"265,911","269,003","279,764","272,006","301,246","352,992","340,15","294,749","303,173","297,515"
Sweden,"259,9","272,205","283,228","212,953","229,034","267,307","291,746","268,146","270,81","274,071"
Turkey,"207,508","208,402","219,176","248,573","179,359","233,566","250,486","261,857","275,834","256,566"
Belgium,"200,149","205,369","228,732","218,72","238,622","288,301","279,292","253,022","258,876","258,5"
Austria,"166,866","174,435","195,506","190,383","203,97","241,234","237,343","213,045","218,557","217,475"
Taiwan,"166,622","187,14","222,911","236,339","256,247","279,059","292,494","303,284","279,964","303,83"
Argentina,"158,024","211,979","255,787","264,429","287,835","288,497","304,282","327,436","334,244","316,998"
Finland,"141,718","128,194","113,134","89,279","103,739","134,339","132,183","127,076","134,212","135,398"
