Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Year
af,Africa,afbwa,Botswana,bwa,805.9999999999999,2011
af,Africa,afdza,Algeria,dza,127884.0,2011
af,Africa,afeth,Ethiopia,eth,158765.0,2011
af,Africa,aflso,Lesotho,lso,293.0,2011
af,Africa,afmoz,Mozambique,moz,451000.0,2011
af,Africa,afrwa,Rwanda,rwa,2526.0,2011
af,Africa,afzaf,South Africa,zaf,2039061.0,2011
as,Asia,asare,United Arab Emirates,are,2122928.0,2011
as,Asia,aschn,China,chn,150399447.0,2011
as,Asia,ashkg,Hong Kong,hkg,25976024.0,2011
as,Asia,asidn,Indonesia,idn,3449016.0,2011
as,Asia,asind,India,ind,5716023.0,2011
as,Asia,asirn,Iran,irn,2054609.0,2011
as,Asia,asjpn,Japan,jpn,26610196.0,2011
as,Asia,askaz,Kazakhstan,kaz,17417135.0,2011
as,Asia,askor,South Korea,kor,525492.0,2011
as,Asia,aslka,Sri Lanka,lka,1.0,2011
as,Asia,asmys,Malaysia,mys,3577969.0,2011
as,Asia,asomn,Oman,omn,757.0,2011
as,Asia,aspak,Pakistan,pak,2059.0,2011
as,Asia,asphl,Philippines,phl,143133.0,2011
as,Asia,assgp,Singapore,sgp,289010.0,2011
as,Asia,astha,Thailand,tha,55437067.0,2011
as,Asia,astwn,Chinese Taipei,twn,8803368.0,2011
as,Asia,asvnm,Vietnam,vnm,1508248.0,2011
eu,Europe,euaut,Austria,aut,1055349.0,2011
eu,Europe,eubel,Belgium,bel,8088835.0,2011
eu,Europe,euche,Switzerland,che,7020371.999999999,2011
eu,Europe,eucze,Czechia,cze,1058.0,2011
eu,Europe,eudeu,Germany,deu,20460618.0,2011
eu,Europe,eudnk,Denmark,dnk,432.00000000000006,2011
eu,Europe,euesp,Spain,esp,46789068.0,2011
eu,Europe,euest,Estonia,est,19585370.0,2011
eu,Europe,eufra,France,fra,23920917.0,2011
eu,Europe,eugbr,United Kingdom,gbr,95686812.0,2011
eu,Europe,eugrc,Greece,grc,974.0,2011
eu,Europe,euhun,Hungary,hun,2000.0,2011
eu,Europe,euirl,Ireland,irl,8632.0,2011
eu,Europe,euita,Italy,ita,43898688.0,2011
eu,Europe,eultu,Lithuania,ltu,645.0,2011
eu,Europe,eulva,Latvia,lva,4970.0,2011
eu,Europe,eunld,Netherlands,nld,20077601.0,2011
eu,Europe,eunor,Norway,nor,290846.0,2011
eu,Europe,euprt,Portugal,prt,741425.0000000001,2011
eu,Europe,eurus,Russia,rus,9181797.0,2011
eu,Europe,eusvk,Slovakia,svk,194390.0,2011
eu,Europe,eusvn,Slovenia,svn,1284.0,2011
eu,Europe,euswe,Sweden,swe,21581.0,2011
na,North America,nabhs,Bahamas,bhs,6.0,2011
na,North America,nacan,Canada,can,7642.0,2011
na,North America,nacri,Costa Rica,cri,2662.0,2011
na,North America,nagtm,Guatemala,gtm,1646.9999999999998,2011
na,North America,nahnd,Honduras,hnd,1407.0,2011
na,North America,najam,Jamaica,jam,8274.0,2011
na,North America,namex,Mexico,mex,997222.0,2011
na,North America,natto,Trinidad and Tobago,tto,24912.0,2011
na,North America,nausa,United States,usa,16689956.0,2011
oc,Oceania,ocaus,Australia,aus,1725419.0,2011
oc,Oceania,ocnzl,New Zealand,nzl,44688.99999999999,2011
sa,South America,sabra,Brazil,bra,4329364.0,2011
sa,South America,sacol,Colombia,col,302.0,2011
sa,South America,saecu,Ecuador,ecu,5631.0,2011
sa,South America,saguy,Guyana,guy,854.0000000000001,2011
sa,South America,saper,Peru,per,18935.0,2011
sa,South America,saven,Venezuela,ven,361774.0,2011
af,Africa,afbfa,Burkina Faso,bfa,959.0,2012
af,Africa,afcod,Democratic Republic of the Congo,cod,292.0,2012
af,Africa,afdza,Algeria,dza,403.0,2012
af,Africa,afegy,Egypt,egy,73439.0,2012
af,Africa,afeth,Ethiopia,eth,141436.0,2012
af,Africa,afgab,Gabon,gab,3431.0,2012
af,Africa,afgha,Ghana,gha,1668.0000000000002,2012
af,Africa,afken,Kenya,ken,2470172.0,2012
af,Africa,afmar,Morocco,mar,2231.0,2012
af,Africa,afmdg,Madagascar,mdg,482630.0,2012
af,Africa,afmoz,Mozambique,moz,2666801.0,2012
af,Africa,afrwa,Rwanda,rwa,246.00000000000003,2012
af,Africa,aftun,Tunisia,tun,13937.999999999998,2012
af,Africa,aftza,Tanzania,tza,791279.0,2012
af,Africa,afuga,Uganda,uga,7000.0,2012
af,Africa,afzaf,South Africa,zaf,12956212.0,2012
as,Asia,asare,United Arab Emirates,are,1536737.0,2012
as,Asia,asbgd,Bangladesh,bgd,316.0,2012
as,Asia,aschn,China,chn,161289637.0,2012
as,Asia,ashkg,Hong Kong,hkg,13649731.0,2012
as,Asia,asidn,Indonesia,idn,1634091.0,2012
as,Asia,asind,India,ind,3701367.0,2012
as,Asia,asirn,Iran,irn,115768.0,2012
as,Asia,asisr,Israel,isr,9000.0,2012
as,Asia,asjpn,Japan,jpn,12728177.0,2012
as,Asia,askaz,Kazakhstan,kaz,29080563.0,2012
as,Asia,askgz,Kyrgyzstan,kgz,56733.99999999999,2012
as,Asia,askor,South Korea,kor,1353891.0,2012
as,Asia,aslao,Laos,lao,1080.0,2012
as,Asia,aslka,Sri Lanka,lka,7096.0,2012
as,Asia,asmys,Malaysia,mys,2595587.0,2012
as,Asia,asomn,Oman,omn,997.0,2012
as,Asia,aspak,Pakistan,pak,15749.0,2012
as,Asia,asphl,Philippines,phl,169746.0,2012
as,Asia,assau,Saudi Arabia,sau,1452.0,2012
as,Asia,assgp,Singapore,sgp,2.0,2012
as,Asia,astha,Thailand,tha,83077341.0,2012
as,Asia,astur,Turkey,tur,337.0,2012
as,Asia,astwn,Chinese Taipei,twn,4929280.0,2012
as,Asia,asvnm,Vietnam,vnm,8858160.0,2012
eu,Europe,euaut,Austria,aut,672590.0,2012
eu,Europe,eubel,Belgium,bel,9243045.000000002,2012
eu,Europe,eubgr,Bulgaria,bgr,7276.0,2012
eu,Europe,euche,Switzerland,che,20053485.0,2012
eu,Europe,eucze,Czechia,cze,424159.0,2012
eu,Europe,eudeu,Germany,deu,20923372.0,2012
eu,Europe,euesp,Spain,esp,3769005.0,2012
eu,Europe,euest,Estonia,est,23845108.0,2012
eu,Europe,eufra,France,fra,3461304.9999999995,2012
eu,Europe,eugbr,United Kingdom,gbr,138620518.0,2012
eu,Europe,euhrv,Croatia,hrv,8374.0,2012
eu,Europe,euhun,Hungary,hun,32365.0,2012
eu,Europe,euisl,Iceland,isl,579.0,2012
eu,Europe,euita,Italy,ita,3182591.0,2012
eu,Europe,eultu,Lithuania,ltu,420.0,2012
eu,Europe,eulux,Luxembourg,lux,1017597.0,2012
eu,Europe,eunld,Netherlands,nld,1835219.0,2012
eu,Europe,eupol,Poland,pol,414476.0,2012
eu,Europe,euprt,Portugal,prt,153950.0,2012
