"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",170521742
"af","Africa","afbdi","Burundi","bdi",80914458
"af","Africa","afben","Benin","ben",193832924
"af","Africa","afbfa","Burkina Faso","bfa",101503699
"af","Africa","afbwa","Botswana","bwa",50148315
"af","Africa","afcaf","Central African Republic","caf",17856702.999999996
"af","Africa","afciv","Cote d'Ivoire","civ",267133065
"af","Africa","afcmr","Cameroon","cmr",80048246
"af","Africa","afcod","Democratic Republic of the Congo","cod",127207423
"af","Africa","afcog","Republic of the Congo","cog",9166836
"af","Africa","afcom","Comoros","com",350482
"af","Africa","afcpv","Cape Verde","cpv",669598
"af","Africa","afdji","Djibouti","dji",564471686
"af","Africa","afdza","Algeria","dza",120480361
"af","Africa","afegy","Egypt","egy",333586534
"af","Africa","aferi","Eritrea","eri",6677743
"af","Africa","afeth","Ethiopia","eth",625832746
"af","Africa","afgab","Gabon","gab",31463766.000000004
"af","Africa","afgha","Ghana","gha",264797249
"af","Africa","afgin","Guinea","gin",49241363
"af","Africa","afgmb","Gambia","gmb",7698906.999999999
"af","Africa","afgnb","Guinea-Bissau","gnb",640343
"af","Africa","afgnq","Equatorial Guinea","gnq",4056438
"af","Africa","afken","Kenya","ken",500471014
"af","Africa","aflbr","Liberia","lbr",18818371
"af","Africa","aflby","Libya","lby",46443594
"af","Africa","aflso","Lesotho","lso",11336209
"af","Africa","afmar","Morocco","mar",435323822
"af","Africa","afmdg","Madagascar","mdg",30448169
"af","Africa","afmli","Mali","mli",49851942
"af","Africa","afmoz","Mozambique","moz",407841295
"af","Africa","afmrt","Mauritania","mrt",70291144
"af","Africa","afmus","Mauritius","mus",29558840
"af","Africa","afmwi","Malawi","mwi",202454373
"af","Africa","afnam","Namibia","nam",61574245
"af","Africa","afner","Niger","ner",13295739
"af","Africa","afnga","Nigeria","nga",423201786
"af","Africa","afrwa","Rwanda","rwa",100592567
"af","Africa","afsdn","Sudan","sdn",133208292
"af","Africa","afsen","Senegal","sen",173155659
"af","Africa","afshn","Saint Helena","shn",193158.00000000003
"af","Africa","afsle","Sierra Leone","sle",11308496
"af","Africa","afsom","Somalia","som",380579
"af","Africa","afssd","South Sudan","ssd",100903
"af","Africa","afstp","Sao Tome and Principe","stp",603813
"af","Africa","afswz","Eswatini","swz",42684546
"af","Africa","afsyc","Seychelles","syc",640989
"af","Africa","aftcd","Chad","tcd",2888329
"af","Africa","aftgo","Togo","tgo",75673503
"af","Africa","aftun","Tunisia","tun",83827854
"af","Africa","aftza","Tanzania","tza",540767659
"af","Africa","afuga","Uganda","uga",15715430
"af","Africa","afzaf","South Africa","zaf",1516094789
"af","Africa","afzmb","Zambia","zmb",738707132
"af","Africa","afzwe","Zimbabwe","zwe",383769072
"an","Antarctica","anatf","French South Antarctic Territory","atf",8047
"as","Asia","asafg","Afghanistan","afg",35839420
"as","Asia","asare","United Arab Emirates","are",218596487
"as","Asia","asarm","Armenia","arm",37319076
"as","Asia","asaze","Azerbaijan","aze",81251246
"as","Asia","asbgd","Bangladesh","bgd",2392027197
"as","Asia","asbhr","Bahrain","bhr",4637747
"as","Asia","asbrn","Brunei","brn",2250086
"as","Asia","asbtn","Bhutan","btn",201920
"as","Asia","aschn","China","chn",4790593090
"as","Asia","ascxr","Christmas Island","cxr",8165
"as","Asia","ascyp","Cyprus","cyp",41366243
"as","Asia","asgeo","Georgia","geo",43295769
"as","Asia","ashkg","Hong Kong","hkg",14810208
"as","Asia","asidn","Indonesia","idn",3149841643
"as","Asia","asind","India","ind",17039898055
"as","Asia","asirn","Iran","irn",85483559
"as","Asia","asirq","Iraq","irq",252580063
"as","Asia","asisr","Israel","isr",168978074
"as","Asia","asjor","Jordan","jor",79696082
"as","Asia","asjpn","Japan","jpn",1378613438
"as","Asia","askaz","Kazakhstan","kaz",233092803
"as","Asia","askgz","Kyrgyzstan","kgz",50771354
"as","Asia","askhm","Cambodia","khm",428734381
"as","Asia","askor","South Korea","kor",1173932828
"as","Asia","askwt","Kuwait","kwt",54423584
"as","Asia","aslao","Laos","lao",136390788
"as","Asia","aslbn","Lebanon","lbn",38950468
"as","Asia","aslka","Sri Lanka","lka",269969218
"as","Asia","asmac","Macau","mac",299293
"as","Asia","asmdv","Maldives","mdv",2600988
"as","Asia","asmmr","Burma","mmr",829772035
"as","Asia","asmng","Mongolia","mng",110564721
"as","Asia","asmys","Malaysia","mys",1780499609
"as","Asia","asnpl","Nepal","npl",298554760
"as","Asia","asomn","Oman","omn",51228865
"as","Asia","aspak","Pakistan","pak",886053948
"as","Asia","asphl","Philippines","phl",1125356759
"as","Asia","asprk","North Korea","prk",5470118
"as","Asia","aspse","Palestine","pse",23852212
"as","Asia","asqat","Qatar","qat",22871769
"as","Asia","assau","Saudi Arabia","sau",171022818
"as","Asia","assgp","Singapore","sgp",57542025
"as","Asia","assyr","Syria","syr",48289473
"as","Asia","astha","Thailand","tha",2867968682
"as","Asia","astjk","Tajikistan","tjk",64579484
"as","Asia","astkm","Turkmenistan","tkm",62772011
"as","Asia","astls","Timor-Leste","tls",504954.00000000006
"as","Asia","astur","Turkey","tur",2791021435
"as","Asia","astwn","Chinese Taipei","twn",395260981
"as","Asia","asuzb","Uzbekistan","uzb",81525165
"as","Asia","asvnm","Vietnam","vnm",1473632062
"as","Asia","asyem","Yemen","yem",24535483
"eu","Europe","eualb","Albania","alb",32403607
"eu","Europe","euand","Andorra","and",944891
"eu","Europe","euaut","Austria","aut",439343900
"eu","Europe","eubel","Belgium","bel",2189437095
"eu","Europe","eubgr","Bulgaria","bgr",828619143
"eu","Europe","eubih","Bosnia and Herzegovina","bih",111391635
"eu","Europe","eublr","Belarus","blr",9097127
"eu","Europe","euche","Switzerland","che",261487975
"eu","Europe","eucze","Czechia","cze",786437074
"eu","Europe","eudeu","Germany","deu",2605095809
"eu","Europe","eudnk","Denmark","dnk",563801881
"eu","Europe","euesp","Spain","esp",2052943935
"eu","Europe","euest","Estonia","est",310254708
"eu","Europe","eufin","Finland","fin",342974104
"eu","Europe","eufra","France","fra",4626188118
"eu","Europe","eugbr","United Kingdom","gbr",2365053539
"eu","Europe","eugib","Gibraltar","gib",426720
"eu","Europe","eugrc","Greece","grc",536687323
"eu","Europe","euhrv","Croatia","hrv",369438969
"eu","Europe","euhun","Hungary","hun",813171519
"eu","Europe","euirl","Ireland","irl",1020580902
"eu","Europe","euisl","Iceland","isl",36178482
"eu","Europe","euita","Italy","ita",1630956477
"eu","Europe","eultu","Lithuania","ltu",832595746
"eu","Europe","eulux","Luxembourg","lux",64144926
"eu","Europe","eulva","Latvia","lva",431350902
"eu","Europe","eumda","Moldova","mda",145618786
"eu","Europe","eumkd","North Macedonia","mkd",52081941
"eu","Europe","eumlt","Malta","mlt",8107755
"eu","Europe","eumne","Montenegro","mne",7295827
"eu","Europe","eunld","Netherlands","nld",1466101567
"eu","Europe","eunor","Norway","nor",424532122
"eu","Europe","eupol","Poland","pol",2176198438
"eu","Europe","euprt","Portugal","prt",438471337
"eu","Europe","eurou","Romania","rou",2111658760
"eu","Europe","eurus","Russia","rus",100061391
"eu","Europe","eusmr","San Marino","smr",153704
"eu","Europe","eusrb","Serbia","srb",635378735
"eu","Europe","eusvk","Slovakia","svk",402621487
"eu","Europe","eusvn","Slovenia","svn",279253006
"eu","Europe","euswe","Sweden","swe",677498670
"eu","Europe","euukr","Ukraine","ukr",733416463
"na","North America","naabw","Aruba","abw",342542
"na","North America","naaia","Anguilla","aia",1138775
"na","North America","naatg","Antigua and Barbuda","atg",986443
"na","North America","nabes","Bonaire","bes",13571
"na","North America","nabhs","Bahamas","bhs",3340331
"na","North America","nablm","Saint Barthélemy","blm",2421.9999999999995
"na","North America","nablz","Belize","blz",32727657
"na","North America","nabmu","Bermuda","bmu",878694
"na","North America","nabrb","Barbados","brb",4114502
"na","North America","nacan","Canada","can",3137514495
"na","North America","nacri","Costa Rica","cri",294579862
"na","North America","nacub","Cuba","cub",37570936
"na","North America","nacuw","Curaçao","cuw",211365
"na","North America","nacym","Cayman Islands","cym",928412
"na","North America","nadma","Dominica","dma",779076
"na","North America","nadom","Dominican Republic","dom",160608220
"na","North America","nagrd","Grenada","grd",1143234
"na","North America","nagrl","Greenland","grl",5096765
"na","North America","nagtm","Guatemala","gtm",481561866
"na","North America","nahnd","Honduras","hnd",151680461
"na","North America","nahti","Haiti","hti",10812448
"na","North America","najam","Jamaica","jam",17630245
"na","North America","nakna","Saint Kitts and Nevis","kna",89520
"na","North America","nalca","Saint Lucia","lca",1175246
"na","North America","namaf","Saint Martin","maf",76324
"na","North America","namex","Mexico","mex",2294541658
"na","North America","namsr","Montserrat","msr",33282
"na","North America","nanic","Nicaragua","nic",156828738
"na","North America","napan","Panama","pan",137526407
"na","North America","naslv","El Salvador","slv",158379140
"na","North America","naspm","Saint Pierre and Miquelon","spm",309622
"na","North America","natca","Turks and Caicos Islands","tca",464526
"na","North America","natto","Trinidad and Tobago","tto",10018046
"na","North America","nausa","United States","usa",13318993544
"na","North America","navct","Saint Vincent and the Grenadines","vct",1647450.9999999998
"na","North America","navgb","British Virgin Islands","vgb",79451
"oc","Oceania","ocasm","American Samoa","asm",5786.000000000001
"oc","Oceania","ocaus","Australia","aus",3919663802
"oc","Oceania","occok","Cook Islands","cok",155847
"oc","Oceania","ocfji","Fiji","fji",20559593
"oc","Oceania","ocfsm","Micronesia","fsm",1839
"oc","Oceania","ocgum","Guam","gum",20162
"oc","Oceania","ockir","Kiribati","kir",17777
"oc","Oceania","ocmhl","Marshall Islands","mhl",19405
"oc","Oceania","ocmnp","Northern Mariana Islands","mnp",41503
"oc","Oceania","ocncl","New Caledonia","ncl",10982151
"oc","Oceania","ocnfk","Norfolk Island","nfk",23477
"oc","Oceania","ocniu","Niue","niu",6732.000000000001
"oc","Oceania","ocnru","Nauru","nru",4988
"oc","Oceania","ocnzl","New Zealand","nzl",736578103
"oc","Oceania","ocpcn","Pitcairn Islands","pcn",3472489
"oc","Oceania","ocplw","Palau","plw",43399
"oc","Oceania","ocpng","Papua New Guinea","png",94239065
"oc","Oceania","ocpyf","French Polynesia","pyf",2117055
"oc","Oceania","ocslb","Solomon Islands","slb",781544
"oc","Oceania","octon","Tonga","ton",457237
"oc","Oceania","octuv","Tuvalu","tuv",25641
"oc","Oceania","ocvut","Vanuatu","vut",29731.999999999996
"oc","Oceania","ocwlf","Wallis and Futuna","wlf",908
