"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",35372994
"af","Africa","afbdi","Burundi","bdi",100
"af","Africa","afben","Benin","ben",87134
"af","Africa","afbfa","Burkina Faso","bfa",4447
"af","Africa","afbwa","Botswana","bwa",110061
"af","Africa","afcaf","Central African Republic","caf",6933090
"af","Africa","afciv","Cote d'Ivoire","civ",3052761
"af","Africa","afcmr","Cameroon","cmr",89154
"af","Africa","afcod","Democratic Republic of the Congo","cod",9931623
"af","Africa","afcog","Republic of the Congo","cog",15422764
"af","Africa","afcom","Comoros","com",8537855
"af","Africa","afcpv","Cape Verde","cpv",5707139
"af","Africa","afdji","Djibouti","dji",1413129
"af","Africa","afdza","Algeria","dza",9060517
"af","Africa","afegy","Egypt","egy",842455296
"af","Africa","aferi","Eritrea","eri",196627.99999999997
"af","Africa","afeth","Ethiopia","eth",2563366
"af","Africa","afgab","Gabon","gab",21802045
"af","Africa","afgha","Ghana","gha",15091843
"af","Africa","afgin","Guinea","gin",578206
"af","Africa","afgmb","Gambia","gmb",965773
"af","Africa","afgnb","Guinea-Bissau","gnb",132259
"af","Africa","afgnq","Equatorial Guinea","gnq",3267772
"af","Africa","afken","Kenya","ken",1491883.9999999998
"af","Africa","aflbr","Liberia","lbr",2770976
"af","Africa","aflby","Libya","lby",52883388
"af","Africa","aflso","Lesotho","lso",2219007
"af","Africa","afmar","Morocco","mar",18749175
"af","Africa","afmdg","Madagascar","mdg",1416
"af","Africa","afmli","Mali","mli",3509140
"af","Africa","afmoz","Mozambique","moz",4112827.0000000005
"af","Africa","afmrt","Mauritania","mrt",909199
"af","Africa","afmus","Mauritius","mus",15760746
"af","Africa","afmwi","Malawi","mwi",15940.999999999998
"af","Africa","afnam","Namibia","nam",389564
"af","Africa","afner","Niger","ner",216186
"af","Africa","afnga","Nigeria","nga",1307665
"af","Africa","afrwa","Rwanda","rwa",46852
"af","Africa","afsdn","Sudan","sdn",650629
"af","Africa","afsen","Senegal","sen",39355623
"af","Africa","afshn","Saint Helena","shn",14825.999999999998
"af","Africa","afsle","Sierra Leone","sle",1078543
"af","Africa","afsom","Somalia","som",5499956
"af","Africa","afssd","South Sudan","ssd",1518538.9999999998
"af","Africa","afstp","Sao Tome and Principe","stp",114501
"af","Africa","afswz","Eswatini","swz",377471
"af","Africa","afsyc","Seychelles","syc",4870675
"af","Africa","aftcd","Chad","tcd",51388.99999999999
"af","Africa","aftgo","Togo","tgo",43200.99999999999
"af","Africa","aftun","Tunisia","tun",6716257.000000001
"af","Africa","aftza","Tanzania","tza",170829
"af","Africa","afuga","Uganda","uga",57103
"af","Africa","afzaf","South Africa","zaf",13535463
"af","Africa","afzmb","Zambia","zmb",1732145.9999999998
"af","Africa","afzwe","Zimbabwe","zwe",58285
"an","Antarctica","anatf","French South Antarctic Territory","atf",136852.99999999997
"as","Asia","asafg","Afghanistan","afg",12876
"as","Asia","asare","United Arab Emirates","are",397193810
"as","Asia","asarm","Armenia","arm",11023943
"as","Asia","asaze","Azerbaijan","aze",9201604
"as","Asia","asbgd","Bangladesh","bgd",21434249
"as","Asia","asbhr","Bahrain","bhr",31240478
"as","Asia","asbrn","Brunei","brn",22142385
"as","Asia","asbtn","Bhutan","btn",5368484.999999999
"as","Asia","ascck","Cocos (Keeling) Islands","cck",76838
"as","Asia","aschn","China","chn",15355883541
"as","Asia","ascxr","Christmas Island","cxr",223625.99999999997
"as","Asia","ascyp","Cyprus","cyp",18715044
"as","Asia","asgeo","Georgia","geo",80656139
"as","Asia","ashkg","Hong Kong","hkg",608613185
"as","Asia","asidn","Indonesia","idn",737307759
"as","Asia","asind","India","ind",1597853
"as","Asia","asirn","Iran","irn",156248706
"as","Asia","asirq","Iraq","irq",228688520
"as","Asia","asisr","Israel","isr",635795004
"as","Asia","asjor","Jordan","jor",89951014
"as","Asia","asjpn","Japan","jpn",1790222885
"as","Asia","askaz","Kazakhstan","kaz",19906423
"as","Asia","askgz","Kyrgyzstan","kgz",1537185
"as","Asia","askhm","Cambodia","khm",95826383
"as","Asia","askor","South Korea","kor",1717238549
"as","Asia","askwt","Kuwait","kwt",144791205
"as","Asia","aslao","Laos","lao",1069636
"as","Asia","aslbn","Lebanon","lbn",41574671
"as","Asia","aslka","Sri Lanka","lka",937365.9999999999
"as","Asia","asmac","Macau","mac",45900078
"as","Asia","asmdv","Maldives","mdv",18024746
"as","Asia","asmmr","Burma","mmr",1737990
"as","Asia","asmng","Mongolia","mng",51662
"as","Asia","asmys","Malaysia","mys",602706839
"as","Asia","asnpl","Nepal","npl",63178.99999999999
"as","Asia","asomn","Oman","omn",63673490.00000001
"as","Asia","aspak","Pakistan","pak",1955769
"as","Asia","asphl","Philippines","phl",717815032
"as","Asia","aspse","Palestine","pse",34740108
"as","Asia","asqat","Qatar","qat",78153932
"as","Asia","assau","Saudi Arabia","sau",395175724
"as","Asia","assgp","Singapore","sgp",161835642.00000003
"as","Asia","astha","Thailand","tha",160837273
"as","Asia","astjk","Tajikistan","tjk",13583568
"as","Asia","astkm","Turkmenistan","tkm",6960425
"as","Asia","astls","Timor-Leste","tls",880030
"as","Asia","astur","Turkey","tur",48680130
"as","Asia","astwn","Chinese Taipei","twn",831169841
"as","Asia","asuzb","Uzbekistan","uzb",23877377
"as","Asia","asvnm","Vietnam","vnm",683405167
"as","Asia","asyem","Yemen","yem",314946
"eu","Europe","eualb","Albania","alb",30850531.000000004
"eu","Europe","euand","Andorra","and",1624254
"eu","Europe","euaut","Austria","aut",84053448
"eu","Europe","eubel","Belgium","bel",89863219
"eu","Europe","eubgr","Bulgaria","bgr",26273990
"eu","Europe","eubih","Bosnia and Herzegovina","bih",9010128
"eu","Europe","eublr","Belarus","blr",2414429
"eu","Europe","euche","Switzerland","che",18285135
"eu","Europe","eucze","Czechia","cze",25385397
"eu","Europe","eudeu","Germany","deu",331894592
"eu","Europe","eudnk","Denmark","dnk",76671454
"eu","Europe","euesp","Spain","esp",151502783
"eu","Europe","euest","Estonia","est",18590453
"eu","Europe","eufin","Finland","fin",40781638
"eu","Europe","eufra","France","fra",493987017
"eu","Europe","eugbr","United Kingdom","gbr",449825062
"eu","Europe","eugib","Gibraltar","gib",1439775
"eu","Europe","eugrc","Greece","grc",68225479
"eu","Europe","euhrv","Croatia","hrv",33844569
"eu","Europe","euhun","Hungary","hun",17451435
"eu","Europe","euirl","Ireland","irl",44439016
"eu","Europe","euisl","Iceland","isl",13305482
"eu","Europe","euita","Italy","ita",300954292
