"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",5047141
"af","Africa","afbdi","Burundi","bdi",2376379
"af","Africa","afben","Benin","ben",619102
"af","Africa","afbfa","Burkina Faso","bfa",1572381
"af","Africa","afbwa","Botswana","bwa",753585
"af","Africa","afciv","Cote d'Ivoire","civ",8135923
"af","Africa","afcmr","Cameroon","cmr",18062208
"af","Africa","afcod","Democratic Republic of the Congo","cod",898429
"af","Africa","afcog","Republic of the Congo","cog",1377167
"af","Africa","afcom","Comoros","com",6266
"af","Africa","afcpv","Cape Verde","cpv",48891
"af","Africa","afdji","Djibouti","dji",14998494.999999998
"af","Africa","afdza","Algeria","dza",36432269
"af","Africa","afegy","Egypt","egy",70797158
"af","Africa","aferi","Eritrea","eri",18804.000000000004
"af","Africa","afeth","Ethiopia","eth",21122347
"af","Africa","afgab","Gabon","gab",79514
"af","Africa","afgha","Ghana","gha",23453509
"af","Africa","afgin","Guinea","gin",594673
"af","Africa","afgmb","Gambia","gmb",29131.000000000004
"af","Africa","afgnb","Guinea-Bissau","gnb",222
"af","Africa","afgnq","Equatorial Guinea","gnq",36820
"af","Africa","afken","Kenya","ken",45660077
"af","Africa","aflbr","Liberia","lbr",101994
"af","Africa","aflby","Libya","lby",2668896
"af","Africa","aflso","Lesotho","lso",6404
"af","Africa","afmar","Morocco","mar",46536550
"af","Africa","afmdg","Madagascar","mdg",1468803
"af","Africa","afmli","Mali","mli",89755
"af","Africa","afmoz","Mozambique","moz",6920154
"af","Africa","afmrt","Mauritania","mrt",1216133
"af","Africa","afmus","Mauritius","mus",1819488
"af","Africa","afmwi","Malawi","mwi",1472444
"af","Africa","afnam","Namibia","nam",115249.00000000001
"af","Africa","afner","Niger","ner",35122
"af","Africa","afnga","Nigeria","nga",8542404
"af","Africa","afrwa","Rwanda","rwa",18727399.000000004
"af","Africa","afsdn","Sudan","sdn",3237489
"af","Africa","afsen","Senegal","sen",2201950
"af","Africa","afsle","Sierra Leone","sle",23929.000000000004
"af","Africa","afsom","Somalia","som",77403
"af","Africa","afssd","South Sudan","ssd",327.99999999999994
"af","Africa","afstp","Sao Tome and Principe","stp",55845.99999999999
"af","Africa","afswz","Eswatini","swz",230325
"af","Africa","afsyc","Seychelles","syc",11526.000000000002
