"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",8911206
"af","Africa","afbdi","Burundi","bdi",446086
"af","Africa","afben","Benin","ben",20795286
"af","Africa","afbfa","Burkina Faso","bfa",9374497
"af","Africa","afbwa","Botswana","bwa",4302108
"af","Africa","afciv","Cote d'Ivoire","civ",134705669
"af","Africa","afcmr","Cameroon","cmr",98546962
"af","Africa","afcod","Democratic Republic of the Congo","cod",2819055.9999999995
"af","Africa","afcog","Republic of the Congo","cog",656865
"af","Africa","afcpv","Cape Verde","cpv",16331
"af","Africa","afdji","Djibouti","dji",4328730
"af","Africa","afdza","Algeria","dza",17911013
"af","Africa","afegy","Egypt","egy",60210108
"af","Africa","afeth","Ethiopia","eth",42165083
"af","Africa","afgab","Gabon","gab",1569968
"af","Africa","afgha","Ghana","gha",170347847
"af","Africa","afgin","Guinea","gin",37614418
"af","Africa","afgmb","Gambia","gmb",165478
"af","Africa","afgnb","Guinea-Bissau","gnb",350
"af","Africa","afgnq","Equatorial Guinea","gnq",87370
"af","Africa","afken","Kenya","ken",43265050
"af","Africa","aflbr","Liberia","lbr",597337
"af","Africa","aflby","Libya","lby",1587895
"af","Africa","aflso","Lesotho","lso",47503
"af","Africa","afmar","Morocco","mar",21230628
"af","Africa","afmdg","Madagascar","mdg",2836148
"af","Africa","afmli","Mali","mli",8470434
"af","Africa","afmoz","Mozambique","moz",13348624
"af","Africa","afmrt","Mauritania","mrt",3405730
"af","Africa","afmus","Mauritius","mus",7504624
"af","Africa","afmwi","Malawi","mwi",7710409
"af","Africa","afnam","Namibia","nam",3710477
"af","Africa","afner","Niger","ner",6265
"af","Africa","afnga","Nigeria","nga",362997407.00000006
"af","Africa","afrwa","Rwanda","rwa",2531139
"af","Africa","afsdn","Sudan","sdn",50257429
"af","Africa","afsen","Senegal","sen",14844970
"af","Africa","afsle","Sierra Leone","sle",775305
"af","Africa","afsom","Somalia","som",675966
"af","Africa","afstp","Sao Tome and Principe","stp",15452
"af","Africa","afswz","Eswatini","swz",3844182
"af","Africa","afsyc","Seychelles","syc",44299
"af","Africa","aftcd","Chad","tcd",9743
"af","Africa","aftgo","Togo","tgo",7998616
"af","Africa","aftun","Tunisia","tun",13681648
"af","Africa","aftza","Tanzania","tza",55041357
"af","Africa","afuga","Uganda","uga",18844358.999999996
"af","Africa","afzaf","South Africa","zaf",365640436
"af","Africa","afzmb","Zambia","zmb",33719012
"af","Africa","afzwe","Zimbabwe","zwe",32011482
"as","Asia","asafg","Afghanistan","afg",983054
"as","Asia","asare","United Arab Emirates","are",12039258
"as","Asia","asarm","Armenia","arm",2190206
"as","Asia","asaze","Azerbaijan","aze",11829519
"as","Asia","asbgd","Bangladesh","bgd",51070864
"as","Asia","asbhr","Bahrain","bhr",20167.999999999996
"as","Asia","asbrn","Brunei","brn",108675
"as","Asia","asbtn","Bhutan","btn",426251.99999999994
"as","Asia","ascck","Cocos (Keeling) Islands","cck",2331
"as","Asia","aschn","China","chn",187601199
"as","Asia","ascxr","Christmas Island","cxr",8698
"as","Asia","ascyp","Cyprus","cyp",4545965
"as","Asia","asgeo","Georgia","geo",11366715
"as","Asia","ashkg","Hong Kong","hkg",1261547
"as","Asia","asidn","Indonesia","idn",271496512
"as","Asia","asind","India","ind",276721216
"as","Asia","asirn","Iran","irn",19678457
