"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",21090327
"af","Africa","afbdi","Burundi","bdi",3033821.0000000005
"af","Africa","afben","Benin","ben",15481365
"af","Africa","afbfa","Burkina Faso","bfa",13612537
"af","Africa","afbwa","Botswana","bwa",5531216
"af","Africa","afcaf","Central African Republic","caf",234014
"af","Africa","afciv","Cote d'Ivoire","civ",56588829
"af","Africa","afcmr","Cameroon","cmr",30523466
"af","Africa","afcod","Democratic Republic of the Congo","cod",4895671
"af","Africa","afcog","Republic of the Congo","cog",2324911
"af","Africa","afcom","Comoros","com",92272
"af","Africa","afcpv","Cape Verde","cpv",1359612
"af","Africa","afdji","Djibouti","dji",24385211.000000004
"af","Africa","afdza","Algeria","dza",38931463
"af","Africa","afegy","Egypt","egy",72560048
"af","Africa","aferi","Eritrea","eri",2055141.0000000002
"af","Africa","afeth","Ethiopia","eth",24165798
"af","Africa","afgab","Gabon","gab",3444467
"af","Africa","afgha","Ghana","gha",70587526
"af","Africa","afgin","Guinea","gin",9806944
"af","Africa","afgmb","Gambia","gmb",2339765
"af","Africa","afgnb","Guinea-Bissau","gnb",118488
"af","Africa","afgnq","Equatorial Guinea","gnq",618305
"af","Africa","afken","Kenya","ken",82250038
"af","Africa","aflbr","Liberia","lbr",3480867
"af","Africa","aflby","Libya","lby",9501744
"af","Africa","aflso","Lesotho","lso",466779.00000000006
"af","Africa","afmar","Morocco","mar",81908542
"af","Africa","afmdg","Madagascar","mdg",16717184
"af","Africa","afmli","Mali","mli",9554385
"af","Africa","afmoz","Mozambique","moz",29506946
"af","Africa","afmrt","Mauritania","mrt",9298198
"af","Africa","afmus","Mauritius","mus",6249203
"af","Africa","afmwi","Malawi","mwi",7001359
"af","Africa","afnam","Namibia","nam",7068208
"af","Africa","afner","Niger","ner",1430193
"af","Africa","afnga","Nigeria","nga",81240911
"af","Africa","afrwa","Rwanda","rwa",9357495
"af","Africa","afsdn","Sudan","sdn",21452837
"af","Africa","afsen","Senegal","sen",16953495
"af","Africa","afsle","Sierra Leone","sle",3770668.9999999995
"af","Africa","afsom","Somalia","som",6360495
"af","Africa","afssd","South Sudan","ssd",634694
"af","Africa","afstp","Sao Tome and Principe","stp",1449846
"af","Africa","afswz","Eswatini","swz",1728782
"af","Africa","afsyc","Seychelles","syc",537660
"af","Africa","aftcd","Chad","tcd",4358362
"af","Africa","aftgo","Togo","tgo",13090909
"af","Africa","aftun","Tunisia","tun",14833076
"af","Africa","aftza","Tanzania","tza",39869587
"af","Africa","afuga","Uganda","uga",19623131
"af","Africa","afzaf","South Africa","zaf",207557855
"af","Africa","afzmb","Zambia","zmb",35713747
"af","Africa","afzwe","Zimbabwe","zwe",40673186
"an","Antarctica","anatf","French South Antarctic Territory","atf",9219
"as","Asia","asafg","Afghanistan","afg",1681889
"as","Asia","asare","United Arab Emirates","are",57668701
"as","Asia","asarm","Armenia","arm",4947985
"as","Asia","asaze","Azerbaijan","aze",22788607
"as","Asia","asbgd","Bangladesh","bgd",182326721
"as","Asia","asbhr","Bahrain","bhr",2075769
"as","Asia","asbrn","Brunei","brn",945121
"as","Asia","asbtn","Bhutan","btn",462097
"as","Asia","ascck","Cocos (Keeling) Islands","cck",6454
"as","Asia","aschn","China","chn",309770961
"as","Asia","ascxr","Christmas Island","cxr",23409.000000000004
"as","Asia","ascyp","Cyprus","cyp",9710661
"as","Asia","asgeo","Georgia","geo",11563403
"as","Asia","ashkg","Hong Kong","hkg",29005859
"as","Asia","asidn","Indonesia","idn",238440901
"as","Asia","asind","India","ind",291366780
"as","Asia","asirn","Iran","irn",20615427
"as","Asia","asirq","Iraq","irq",22875640
"as","Asia","asisr","Israel","isr",45568622
"as","Asia","asjor","Jordan","jor",16703034
"as","Asia","asjpn","Japan","jpn",140339375
"as","Asia","askaz","Kazakhstan","kaz",47284794
"as","Asia","askgz","Kyrgyzstan","kgz",8067794
"as","Asia","askhm","Cambodia","khm",50555675.99999999
"as","Asia","askor","South Korea","kor",62585581
"as","Asia","askwt","Kuwait","kwt",5610349
"as","Asia","aslao","Laos","lao",6578218
"as","Asia","aslbn","Lebanon","lbn",9664776
"as","Asia","aslka","Sri Lanka","lka",13421936
"as","Asia","asmac","Macau","mac",2141555
"as","Asia","asmdv","Maldives","mdv",1908166.0000000002
"as","Asia","asmmr","Burma","mmr",67197807
"as","Asia","asmng","Mongolia","mng",629038
"as","Asia","asmys","Malaysia","mys",86639517
"as","Asia","asnpl","Nepal","npl",19547579
"as","Asia","asomn","Oman","omn",11249050
"as","Asia","aspak","Pakistan","pak",130929968
"as","Asia","asphl","Philippines","phl",146741492
"as","Asia","asprk","North Korea","prk",1827379
"as","Asia","aspse","Palestine","pse",4466731
"as","Asia","asqat","Qatar","qat",8688218
"as","Asia","assau","Saudi Arabia","sau",43020606
"as","Asia","assgp","Singapore","sgp",54186057
"as","Asia","assyr","Syria","syr",5415828
"as","Asia","astha","Thailand","tha",219002477
"as","Asia","astjk","Tajikistan","tjk",1265646
"as","Asia","astkm","Turkmenistan","tkm",4664508
"as","Asia","astls","Timor-Leste","tls",542439
"as","Asia","astur","Turkey","tur",166264475
"as","Asia","astwn","Chinese Taipei","twn",80461759
"as","Asia","asuzb","Uzbekistan","uzb",24966895
"as","Asia","asvnm","Vietnam","vnm",208534179
"as","Asia","asyem","Yemen","yem",11817985
"eu","Europe","eualb","Albania","alb",3036381
"eu","Europe","euand","Andorra","and",423008
"eu","Europe","euaut","Austria","aut",44403954
"eu","Europe","eubel","Belgium","bel",143716805
"eu","Europe","eubgr","Bulgaria","bgr",28390546
"eu","Europe","eubih","Bosnia and Herzegovina","bih",5654000
"eu","Europe","eublr","Belarus","blr",7389028
"eu","Europe","euche","Switzerland","che",66132502
"eu","Europe","eucze","Czechia","cze",50596869
"eu","Europe","eudeu","Germany","deu",220511388
"eu","Europe","eudnk","Denmark","dnk",28353931
"eu","Europe","euesp","Spain","esp",300591675
"eu","Europe","euest","Estonia","est",7444702
"eu","Europe","eufin","Finland","fin",13170855
"eu","Europe","eufra","France","fra",477167381
"eu","Europe","eugbr","United Kingdom","gbr",83111696
"eu","Europe","eugib","Gibraltar","gib",97491.00000000001
"eu","Europe","eugrc","Greece","grc",108172912
"eu","Europe","euhrv","Croatia","hrv",23744113
"eu","Europe","euhun","Hungary","hun",105152354
"eu","Europe","euirl","Ireland","irl",8696209
"eu","Europe","euisl","Iceland","isl",194737
"eu","Europe","euita","Italy","ita",334108925
"eu","Europe","eultu","Lithuania","ltu",17478071
"eu","Europe","eulux","Luxembourg","lux",4088846
"eu","Europe","eulva","Latvia","lva",13089325
"eu","Europe","eumda","Moldova","mda",12430282
"eu","Europe","eumkd","North Macedonia","mkd",3584887
"eu","Europe","eumlt","Malta","mlt",2063100.9999999998
"eu","Europe","eumne","Montenegro","mne",1455298
"eu","Europe","eunld","Netherlands","nld",142957154
"eu","Europe","eunor","Norway","nor",11227258
"eu","Europe","eupol","Poland","pol",132742798
"eu","Europe","euprt","Portugal","prt",54407933
"eu","Europe","eurou","Romania","rou",135836462
"eu","Europe","eurus","Russia","rus",218705898
"eu","Europe","eusmr","San Marino","smr",103872
"eu","Europe","eusrb","Serbia","srb",20615315
"eu","Europe","eusvk","Slovakia","svk",22599792
"eu","Europe","eusvn","Slovenia","svn",13951322
"eu","Europe","euswe","Sweden","swe",21616264
"eu","Europe","euukr","Ukraine","ukr",97184760
"na","North America","naabw","Aruba","abw",389038
"na","North America","naaia","Anguilla","aia",58603.99999999999
"na","North America","naatg","Antigua and Barbuda","atg",1570810
"na","North America","nabes","Bonaire","bes",42680
"na","North America","nabhs","Bahamas","bhs",2162282
"na","North America","nablm","Saint Barthélemy","blm",739.0000000000001
"na","North America","nablz","Belize","blz",3731261
"na","North America","nabmu","Bermuda","bmu",787543
"na","North America","nabrb","Barbados","brb",2255802
"na","North America","nacan","Canada","can",359286760
"na","North America","nacri","Costa Rica","cri",49129458
"na","North America","nacub","Cuba","cub",1694345
"na","North America","nacuw","Curaçao","cuw",1004661
"na","North America","nacym","Cayman Islands","cym",2279875
"na","North America","nadma","Dominica","dma",249277.99999999997
"na","North America","nadom","Dominican Republic","dom",29604415
"na","North America","nagrd","Grenada","grd",910488
"na","North America","nagrl","Greenland","grl",7775.999999999999
"na","North America","nagtm","Guatemala","gtm",46794878
"na","North America","nahnd","Honduras","hnd",28271448
"na","North America","nahti","Haiti","hti",1795033.0000000002
"na","North America","najam","Jamaica","jam",6594006
"na","North America","nakna","Saint Kitts and Nevis","kna",456629.00000000006
"na","North America","nalca","Saint Lucia","lca",1498430
"na","North America","namaf","Saint Martin","maf",107794
"na","North America","namex","Mexico","mex",347163337
"na","North America","namsr","Montserrat","msr",69199
"na","North America","nanic","Nicaragua","nic",22522447
"na","North America","napan","Panama","pan",22943753
"na","North America","naslv","El Salvador","slv",20768641
"na","North America","naspm","Saint Pierre and Miquelon","spm",1711
"na","North America","natca","Turks and Caicos Islands","tca",297867
"na","North America","natto","Trinidad and Tobago","tto",7153867
"na","North America","nausa","United States","usa",779320757
"na","North America","navct","Saint Vincent and the Grenadines","vct",821936
"na","North America","navgb","British Virgin Islands","vgb",202734
"oc","Oceania","ocasm","American Samoa","asm",21846
"oc","Oceania","ocaus","Australia","aus",177112745
"oc","Oceania","occok","Cook Islands","cok",110739
"oc","Oceania","ocfji","Fiji","fji",4864793
"oc","Oceania","ocfsm","Micronesia","fsm",131028
"oc","Oceania","ocgum","Guam","gum",37687
"oc","Oceania","ockir","Kiribati","kir",155899.99999999997
"oc","Oceania","ocmhl","Marshall Islands","mhl",12245
"oc","Oceania","ocncl","New Caledonia","ncl",1639929
"oc","Oceania","ocnfk","Norfolk Island","nfk",18214
"oc","Oceania","ocniu","Niue","niu",16554.000000000004
"oc","Oceania","ocnru","Nauru","nru",90549.00000000001
"oc","Oceania","ocnzl","New Zealand","nzl",57554096
"oc","Oceania","ocplw","Palau","plw",19076
"oc","Oceania","ocpng","Papua New Guinea","png",3180053
"oc","Oceania","ocpyf","French Polynesia","pyf",2216345
"oc","Oceania","ocslb","Solomon Islands","slb",915763
"oc","Oceania","octon","Tonga","ton",279567
"oc","Oceania","octuv","Tuvalu","tuv",46076
"oc","Oceania","ocvut","Vanuatu","vut",265573
"oc","Oceania","ocwlf","Wallis and Futuna","wlf",37802
"oc","Oceania","ocwsm","Samoa","wsm",1275467
"sa","South America","saarg","Argentina","arg",177433116
"sa","South America","sabol","Bolivia","bol",67454508
"sa","South America","sabra","Brazil","bra",2775179139
"sa","South America","sachl","Chile","chl",161950821
"sa","South America","sacol","Colombia","col",155529835
"sa","South America","saecu","Ecuador","ecu",60951196
"sa","South America","saflk","Falkland Islands","flk",1551
"sa","South America","saguy","Guyana","guy",5306068
"sa","South America","saper","Peru","per",114199357
"sa","South America","sapry","Paraguay","pry",135161855
"sa","South America","sasur","Suriname","sur",3452781
"sa","South America","saury","Uruguay","ury",41667703
"sa","South America","saven","Venezuela","ven",12515427
