"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",18696
"af","Africa","afben","Benin","ben",1130
"af","Africa","afbwa","Botswana","bwa",1550337
"af","Africa","afcaf","Central African Republic","caf",2072521.0000000002
"af","Africa","afciv","Cote d'Ivoire","civ",2279374733
"af","Africa","afcmr","Cameroon","cmr",1133
"af","Africa","afcod","Democratic Republic of the Congo","cod",318040
"af","Africa","afdza","Algeria","dza",2376
"af","Africa","afegy","Egypt","egy",3866363705
"af","Africa","afeth","Ethiopia","eth",140465
"af","Africa","afgha","Ghana","gha",270813
"af","Africa","afken","Kenya","ken",3026
"af","Africa","aflbr","Liberia","lbr",9720
"af","Africa","aflso","Lesotho","lso",573382
"af","Africa","afmar","Morocco","mar",44270022
"af","Africa","afmdg","Madagascar","mdg",749.0000000000001
"af","Africa","afmli","Mali","mli",314835
"af","Africa","afmoz","Mozambique","moz",35616
"af","Africa","afmrt","Mauritania","mrt",514
"af","Africa","afmwi","Malawi","mwi",97599909
"af","Africa","afnam","Namibia","nam",3077032.9999999995
"af","Africa","afnga","Nigeria","nga",412.00000000000006
"af","Africa","afsdn","Sudan","sdn",1
"af","Africa","afsen","Senegal","sen",420395366.99999994
"af","Africa","afshn","Saint Helena","shn",12455
"af","Africa","afsle","Sierra Leone","sle",2106
"af","Africa","afssd","South Sudan","ssd",93.00000000000001
"af","Africa","afswz","Eswatini","swz",462.99999999999994
"af","Africa","afsyc","Seychelles","syc",150
"af","Africa","aftgo","Togo","tgo",594292621
"af","Africa","aftun","Tunisia","tun",674251944
"af","Africa","aftza","Tanzania","tza",11015
"af","Africa","afuga","Uganda","uga",12309.000000000002
"af","Africa","afzaf","South Africa","zaf",4336600525
"af","Africa","afzmb","Zambia","zmb",10145
"af","Africa","afzwe","Zimbabwe","zwe",179122
"as","Asia","asafg","Afghanistan","afg",1350522.0000000002
"as","Asia","asare","United Arab Emirates","are",3103701592
"as","Asia","asaze","Azerbaijan","aze",410356154
"as","Asia","asbgd","Bangladesh","bgd",57352175
"as","Asia","asbrn","Brunei","brn",5050046185
"as","Asia","aschn","China","chn",286942342913
"as","Asia","ascyp","Cyprus","cyp",6840176
"as","Asia","asgeo","Georgia","geo",763142
"as","Asia","ashkg","Hong Kong","hkg",85474813.00000001
"as","Asia","asidn","Indonesia","idn",10073950684
"as","Asia","asind","India","ind",169769525054
"as","Asia","asirq","Iraq","irq",5282.999999999999
"as","Asia","asisr","Israel","isr",3730011033
"as","Asia","asjor","Jordan","jor",1207280754
"as","Asia","asjpn","Japan","jpn",86682717928
"as","Asia","askaz","Kazakhstan","kaz",271115
"as","Asia","askgz","Kyrgyzstan","kgz",2506448
"as","Asia","askor","South Korea","kor",89148442960
"as","Asia","askwt","Kuwait","kwt",41870
"as","Asia","aslbn","Lebanon","lbn",36156
"as","Asia","aslka","Sri Lanka","lka",337456799.99999994
"as","Asia","asmmr","Burma","mmr",965510125
"as","Asia","asmng","Mongolia","mng",10
"as","Asia","asmys","Malaysia","mys",12203312372.999998
"as","Asia","asomn","Oman","omn",142184
"as","Asia","aspak","Pakistan","pak",5228022592
"as","Asia","asphl","Philippines","phl",3324759609
"as","Asia","aspse","Palestine","pse",51818.99999999999
"as","Asia","asqat","Qatar","qat",87133533
"as","Asia","assau","Saudi Arabia","sau",649846016
"as","Asia","assgp","Singapore","sgp",32599429967
"as","Asia","astha","Thailand","tha",32837396776
"as","Asia","astjk","Tajikistan","tjk",75955
"as","Asia","astkm","Turkmenistan","tkm",854.0000000000001
"as","Asia","astls","Timor-Leste","tls",500
"as","Asia","astur","Turkey","tur",4578965486
"as","Asia","astwn","Chinese Taipei","twn",36966229540
