Rank;Nation;Gold;Silver;Bronze;Total
1; United States;36;39;26;101
2; China;32;17;14;63
3; Russia;28;26;36;90
4; Australia;17;16;17;50
5; Japan;16;9;12;37
6; Germany;13;16;20;49
7; France;11;9;13;33
8; Italy;10;11;11;32
9; South Korea;9;12;9;30
10; Great Britain;9;9;12;30
11; Cuba;9;7;11;27
12; Hungary;8;6;3;17
13; Ukraine;8;5;9;22
14; Romania;8;5;6;19
15; Greece;6;6;4;16
16; Brazil;5;2;3;10
17; Norway;5;0;1;6
18; Netherlands;4;9;9;22
19; Sweden;4;2;1;7
20; Spain;3;11;6;20
21; Canada;3;6;3;12
22; Turkey;3;3;4;10
23; Poland;3;2;5;10
24; New Zealand;3;2;0;5
25; Thailand;3;1;4;8
26; Belarus;2;5;6;13
27; Austria;2;4;1;7
28; Ethiopia;2;3;2;7
29; Iran;2;2;2;6
30; Slovakia;2;2;2;6
31; Chinese Taipei;2;2;1;5
32; Georgia;2;2;0;4
33; Bulgaria;2;1;9;12
34; Denmark;2;1;5;8
35; Jamaica;2;1;2;5
36; Uzbekistan;2;1;2;5
37; Morocco;2;1;0;3
38; Argentina;2;0;4;6
39; Chile;2;0;1;3
40; Kazakhstan;1;4;3;8
41; Kenya;1;4;2;7
42; Czech Republic;1;3;5;9
43; South Africa;1;3;2;6
44; Croatia;1;2;2;5
45; Lithuania;1;2;0;3
46; Egypt;1;1;3;5
47; Switzerland;1;1;3;5
48; Indonesia;1;1;2;4
49; Zimbabwe;1;1;1;3
50; Azerbaijan;1;0;4;5
51; Belgium;1;0;2;3
52; Bahamas;1;0;1;2
; Israel;1;0;1;2
54; Cameroon;1;0;0;1
; Dominican Republic;1;0;0;1
; United Arab Emirates;1;0;0;1
57; North Korea;0;4;1;5
58; Latvia;0;4;0;4
59; Mexico;0;3;1;4
60; Portugal;0;2;1;3
61; Finland;0;2;0;2
; Serbia and Montenegro;0;2;0;2
63; Slovenia;0;1;3;4
64; Estonia;0;1;2;3
65; Hong Kong;0;1;0;1
; India;0;1;0;1
; Paraguay;0;1;0;1
68; Colombia;0;0;2;2
; Nigeria;0;0;2;2
; Venezuela;0;0;2;2
71; Eritrea;0;0;1;1
; Mongolia;0;0;1;1
; Syria;0;0;1;1
; Trinidad and Tobago;0;0;1;1
