Rank;NOC;Gold;Silver;Bronze;Total
1; United States;48;26;30;104
2; China;39;31;22;92
3; Great Britain*;29;18;18;65
4; Russia;18;21;26;65
5; South Korea;13;9;9;31
6; Germany;11;20;13;44
7; France;11;11;13;35
8; Australia;8;15;12;35
9; Italy;8;9;11;28
10; Hungary;8;4;6;18
11; Japan;7;14;17;38
12; Iran;7;5;1;13
13; Netherlands;6;6;8;20
14; New Zealand;6;2;5;13
15; Ukraine;5;4;10;19
16; Cuba;5;3;7;15
17; Spain;4;10;6;20
18; Jamaica;4;5;4;13
19; Czech Republic;4;4;3;11
20; South Africa;4;1;1;6
21; North Korea;4;0;3;7
22; Brazil;3;5;9;17
23; Kazakhstan;3;2;6;11
24; Poland;3;2;6;11
25; Ethiopia;3;2;3;8
26; Croatia;3;1;2;6
27; Canada;2;6;10;18
28; Belarus;2;5;3;10
29; Kenya;2;4;7;13
30; Denmark;2;4;3;9
31; Romania;2;4;1;7
32; Azerbaijan;2;2;5;9
33; Switzerland;2;2;0;4
34; Norway;2;1;1;4
35; Lithuania;2;0;3;5
36; Tunisia;2;0;1;3
37; Sweden;1;4;3;8
38; Colombia;1;3;5;9
39; Mexico;1;3;4;8
40; Georgia;1;2;3;6
41; Ireland;1;1;4;6
42; Argentina;1;1;2;4
43; Serbia;1;1;2;4
44; Slovenia;1;1;2;4
45; Trinidad and Tobago;1;1;2;4
46; Turkey;1;1;1;3
47; Dominican Republic;1;1;0;2
48; Chinese Taipei;1;0;1;2
49; Latvia;1;0;1;2
50; Algeria;1;0;0;1
51; Bahamas;1;0;0;1
52; Bahrain;1;0;0;1
53; Grenada;1;0;0;1
54; Uganda;1;0;0;1
55; Venezuela;1;0;0;1
56; Egypt;0;3;1;4
57; India;0;2;4;6
58; Mongolia;0;2;3;5
59; Thailand;0;2;2;4
60; Bulgaria;0;2;1;3
61; Finland;0;2;1;3
62; Indonesia;0;2;1;3
63; Slovakia;0;1;3;4
64; Belgium;0;1;2;3
65; Armenia;0;1;1;2
66; Estonia;0;1;1;2
67; Malaysia;0;1;1;2
68; Puerto Rico;0;1;1;2
69; Qatar;0;1;1;2
70; Botswana;0;1;0;1
71; Cyprus;0;1;0;1
72; Gabon;0;1;0;1
73; Guatemala;0;1;0;1
74; Montenegro;0;1;0;1
75; Portugal;0;1;0;1
76; Uzbekistan;0;0;3;3
77; Greece;0;0;2;2
78; Singapore;0;0;2;2
79; Afghanistan;0;0;1;1
80; Cameroon;0;0;1;1
81; Hong Kong;0;0;1;1
82; Kuwait;0;0;1;1
83; Morocco;0;0;1;1
84; Saudi Arabia;0;0;1;1
85; Tajikistan;0;0;1;1
86; Vietnam;0;0;1;1
