Date;Price;Open;High;Low;Vol.;Change %
04/12/2024;5.1175;5.0922;5.1487;5.089;;0.51%
04/11/2024;5.0917;5.0735;5.0931;5.058;;0.34%
04/10/2024;5.0746;5.0092;5.0863;4.997;;1.31%
04/09/2024;5.009;5.0281;5.031;4.9995;;-0.35%
04/08/2024;5.0268;5.0665;5.0759;5.0247;;-0.76%
04/05/2024;5.0655;5.0549;5.0746;5.028;;0.23%
04/04/2024;5.0538;5.0392;5.0574;5.0043;;0.29%
04/03/2024;5.0393;5.0584;5.0921;5.0349;;-0.36%
04/02/2024;5.0576;5.0551;5.0631;5.0216;;0.07%
04/01/2024;5.0543;5.0147;5.0708;5.0093;;0.78%
03/29/2024;5.0153;5.0155;5.0163;5.0139;;0.05%
03/28/2024;5.0129;4.9871;5.0184;4.9788;;0.53%
03/27/2024;4.9866;4.9816;4.9942;4.9716;;0.12%
03/26/2024;4.9808;4.9752;4.9942;4.9651;;0.11%
03/25/2024;4.9751;5.0023;5.0065;4.9718;;-0.49%
03/22/2024;4.9997;4.9781;5.0099;4.9739;;0.43%
03/21/2024;4.9781;4.9688;4.9865;4.9504;;0.18%
03/20/2024;4.9691;5.0313;5.0354;4.9649;;-1.21%
03/19/2024;5.0301;5.0261;5.0557;5.01;;0.10%
03/18/2024;5.0253;4.996;5.0324;4.9834;;0.61%
03/15/2024;4.9949;4.9897;5.0022;4.9812;;0.11%
03/14/2024;4.9895;4.9705;4.9945;4.953;;0.39%
03/13/2024;4.97;4.972;4.9887;4.9621;;-0.04%
03/12/2024;4.9718;4.978;4.9957;4.9581;;-0.11%
03/11/2024;4.9771;4.9835;5.0004;4.9598;;-0.07%
03/08/2024;4.9806;4.9345;4.9923;4.9341;;0.92%
03/07/2024;4.935;4.9451;4.9473;4.9311;;-0.19%
03/06/2024;4.9446;4.9586;4.9611;4.9328;;-0.27%
03/05/2024;4.9581;4.9471;4.9622;4.9398;;0.25%
03/04/2024;4.9458;4.9545;4.9588;4.9404;;-0.17%
03/01/2024;4.9541;4.9708;4.975;4.9458;;-0.35%
02/29/2024;4.9716;4.9689;4.9993;4.9619;;0.08%
02/28/2024;4.9675;4.9338;4.9764;4.9316;;0.69%
02/27/2024;4.9335;4.9802;4.9839;4.9281;;-0.93%
02/26/2024;4.9799;4.9943;4.9963;4.9703;;-0.30%
02/23/2024;4.9951;4.961;4.9978;4.9595;;0.70%
02/22/2024;4.9605;4.9382;4.9659;4.9186;;0.50%
02/21/2024;4.9358;4.9278;4.9468;4.9194;;0.17%
02/20/2024;4.9275;4.957;4.9654;4.9246;;-0.58%
02/19/2024;4.9564;4.9686;4.9713;4.9514;;-0.20%
02/16/2024;4.9665;4.9737;4.9894;4.9594;;-0.13%
02/15/2024;4.9732;4.974;4.9833;4.9564;;0.08%
02/14/2024;4.969;4.9537;4.9797;4.9535;;0.31%
02/13/2024;4.9536;4.9537;4.957;4.952;;0.00%
02/12/2024;4.9536;4.9537;4.957;4.9535;;0.04%
02/09/2024;4.9517;4.9903;4.9918;4.9497;;-0.81%
02/08/2024;4.992;4.9717;5.0017;4.9676;;0.47%
02/07/2024;4.9685;4.96;4.9749;4.9525;;0.10%
02/06/2024;4.9634;4.9879;4.9891;4.9508;;-0.44%
02/05/2024;4.9854;4.9663;5.0184;4.9661;;0.31%
02/02/2024;4.9699;4.9167;4.9764;4.9072;;1.09%
02/01/2024;4.9163;4.9496;4.9697;4.91;;-0.73%
01/31/2024;4.9526;4.9501;4.9668;4.925;;0.02%
01/30/2024;4.9516;4.9433;4.9819;4.9332;;0.00%
01/29/2024;4.9518;4.9175;4.9585;4.9056;;0.71%
01/26/2024;4.9168;4.9063;4.921;4.9018;;0.01%
01/25/2024;4.9165;4.9306;4.9418;4.9066;;-0.34%
01/24/2024;4.9335;4.9525;4.9538;4.9075;;-0.40%
